"Feature","1","2","3","4","5","6","7"
"qNet",0,0,0,0,0,0,1
"dvdtmax",0,0,0.333333333333333,0.285714285714286,0.5,1,0
"vmax",0,0,0,0.285714285714286,0.25,0,1
"vrest",0,0,1,1,1,1,1
"APD50",0,0,0,0,0,0,1
"APD90",1,0.75,0.666666666666667,0.857142857142857,0.75,0.5,1
"max_dv",0,0.25,0,0.142857142857143,0,0.5,1
"camax",0,0.25,0,0.142857142857143,0.5,1,0
"carest",0,0,0.333333333333333,0.428571428571429,1,1,0
"CaTD50",0,0.5,0.333333333333333,0.142857142857143,0.75,1,1
"CaTD90",0,0.25,0.333333333333333,0.714285714285714,0.25,0,0
