"Feature","1","2","3","4","5","6","7"
"qNet",0,0,0,0,0,0,0.708333333
"dvdtmax",0,0,0.708333333,0.708333333,0.708333333,0.708333333,0
"vmax",0,0,0,0.708333333,0.708333333,0,0.708333333
"vrest",0,0,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333
"APD50",0,0,0,0,0,0,0.708333333
"APD90",0.708333333,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333
"max_dv",0,0.708333333,0,0.708333333,0,0.708333333,0.708333333
"camax",0,0.708333333,0,0.708333333,0.708333333,0.708333333,0
"carest",0,0,0.708333333,0.708333333,0.708333333,0.708333333,0
"CaTD50",0,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333
"CaTD90",0,0.708333333,0.708333333,0.708333333,0.708333333,0,0
