"Feature","1","2","3","4","5","6","7"
"qNet",0,0,0,0,0,0,0.0524269855338175
"dvdtmax",0,0,1,0.305253631184224,0.314331709565112,0.293610452600309,0
"vmax",0,0,0,0.0842694882901978,0.0159223678383875,0,0.105809817466033
"vrest",0,0,0.822386243487292,0.875638272575887,0.913979485222886,0.961367117156988,0.576803519604067
"APD50",0,0,0,0,0,0,0.307415391946666
"APD90",1,1,1,0.95162814268264,0.978842962225101,1,1
"max_dv",0,1,0,0.533147249113992,0,0.0753600983842932,0.075984281780083
"camax",0,0.125894602822729,0,0.0190379788308732,0.651148448077997,0.598582269567044,0
"carest",0,0,0.189239755971363,0.167116144941615,0.33042173750353,0.486429279201214,0
"CaTD50",0,0.0541213915566448,0.481013164989555,0.264740633782694,0.283858836651059,0.387227177928049,0.10129551488234
"CaTD90",0,0.0921795765903338,0.443774751689298,0.618965735328756,0.670851325200107,0,0
