"Feature","1","2","3","4","5","6","7"
"qNet",0,0,0,0,0,0,0.0524269855338175
"dvdtmax",0,0,1,0.374191964122028,0.442866558392785,0.46531379127885,0
"vmax",0,0,0,0.113435923058628,0.0159223678383875,0,0.105809817466033
"vrest",0,0,0.941287036166482,1,1,1,0.576803519604067
"APD50",0,0,0,0,0,0,0.307415391946666
"APD90",1,1,1,1,1,1,1
"max_dv",0,1,0,0.533147249113992,0,0.0753600983842932,0.075984281780083
"camax",0,0.125894602822729,0,0.0190379788308732,1,0.993942041985355,0
"carest",0,0,0.189239755971363,0.206601686924282,0.647649601074715,0.662143312638455,0
"CaTD50",0,0.0700710031487171,0.481013164989555,0.264740633782694,0.620976311665879,0.623326115078703,0.10129551488234
"CaTD90",0,0.0921795765903338,0.443774751689298,0.866112902506144,0.670851325200107,0,0
