"Feature","1","2","3","4","5","6","7"
"qNet",0,0,0,0,0,0,0.0524269855338175
"dvdtmax",0,0,1,0.236315298246421,0.185796860737438,0.121907113921768,0
"vmax",0,0,0,0.0551030535217671,0.0159223678383875,0,0.105809817466033
"vrest",0,0,0.695014474955715,0.596182267132971,0.851011232832493,0.922734234313976,0.576803519604067
"APD50",0,0,0,0,0,0,0.307415391946666
"APD90",1,1,1,0.820664435454589,0.936528886675303,1,1
"max_dv",0,1,0,0.533147249113992,0,0.0753600983842932,0.075984281780083
"camax",0,0.125894602822729,0,0.0190379788308732,0.302296896155993,0.203222497148732,0
"carest",0,0,0.189239755971363,0.138701006495536,0.119062629256914,0.310715245763972,0
"CaTD50",0,0.0381717799645725,0.481013164989555,0.264740633782694,0.10951852963007,0.151128240777395,0.10129551488234
"CaTD90",0,0.0921795765903338,0.443774751689298,0.401736187899123,0.670851325200107,0,0
