"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,0.965295815432372,0.912499798865435,0.851196784533983,0.745354379917169,0.620988885054422,0.47861249708548,0.379437046135366
"dvdtmax",0,0.404299574841237,0.412025934261684,0.46355515660948,0.544631071660555,0.516527461722822,0.414995188118738,0.381415160407467,0.36940314451223
"vmax",0,0.0581854139472364,0.263773038976411,0.207278937023767,0.251599652641486,0.261416139629331,0.222148581264018,0.209365811540717,0.201796072893712
"vrest",0,0.398687014668464,0.607501259903119,0.615809129495129,0.517757219075419,0.402353974313368,0.283084793344479,0.173231349917391,0
"APD50",0,0.550778125897316,0.681755319500429,0.686404996864183,0.609387340472359,0.646525980699272,0.705049950757742,0.659590472813898,0.459550117917835
"APD90",0,0.555396385493527,0.782528349380806,0.713622922511267,0.675830969368135,0.69155364053957,0.75775414465668,0.894573117515281,0
"max_dv",0,0.532851037603255,0.660592924820904,0.391645393478049,0.264992939241511,0.257544603178854,0.262787624624151,0.271149071842132,0.0336276885524648
"camax",0,0.256855864828828,0.425552037244208,0.282726856214446,0.299637278539198,0.278897563224105,0.29771302251545,0.326972797432493,0.338567275790068
"carest",0,0.254198260292886,0.392672380545361,0.268240572879168,0.263587241789866,0.300015105963877,0.284777578522732,0.194433482382073,0.07272131441365
"CaTD50",0,0.0754418594017246,0.370988169188235,0.260940726702944,0.323089837918461,0.366983024660086,0.34772799403836,0.294395154304915,0.356318147862272
"CaTD90",0,0.505244068931927,0.517066463479531,0.574735950684724,0.651792040849038,0.761619491863684,0.872912402956108,0.746176795959503,1
