"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,0.401489161787593,0.250510793347376,0.291462880513426,0.105617095214726,0.0524269855338175,0.331407046079546,0.379437046135366
"dvdtmax",0,0.404299574841237,0.0567483583058289,0.0072355586090806,0.0197395152296917,0.00973280043877382,0.00256867398988114,0.015362794185909,0.36940314451223
"vmax",0,0.0581854139472364,0.0827991887022543,5.48388337457063e-06,6.32718067432081e-05,0.00252044550663783,0.000946518022171129,0.0167870509828724,0.201796072893712
"vrest",0,0.0167428343461328,0.0713137515430931,0.0288062960016743,0.00202094289502125,0.0174837363174391,0.0247110113555259,0.143355662934292,0
"APD50",0,0.101556251794631,0.131863088824881,0.00418314291160854,0.00445388868644067,0.0203362632173941,0.035243854502981,0.0043374336756832,0.459550117917835
"APD90",0,0.110792770987055,0.138500605022031,0.0738855885235173,0.0597931157793107,0.0880468381166114,0.156402984347385,0.570087606285927,0
"max_dv",0,0.0657020752065103,0.108964527501611,0.00044188150685933,0.00449455087377877,0.00175759165168092,0.00398453383299753,0.0705429430115841,0.0336276885524648
"camax",0,0.256855864828828,0.199027092971189,0.0190379788308732,0.00422780741075808,0.00283289620092678,0.00738829943489281,0.0882502564605926,0.338567275790068
"carest",0,0.0904079685108544,0.0402958080537209,0.00156809646609851,0.00366335302125835,0.00293287897604617,0.00820724628346192,0.0159425110489263,0.07272131441365
"CaTD50",0,0.0754418594017246,0.0447878450999514,0.000973501288620506,0.011941196972863,0.000840682345487617,0.0177165116830794,0.00712841874659785,0.356318147862272
"CaTD90",0,0.0104881378638538,0.123337052046873,0.00199833857317539,0.0248334894510757,0.020073192788511,0.11359207030211,0.071978376130696,1
