Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Mean_1,Mean_2,SD_1,SD_2,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax,0.8125,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.428571429,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.244445368,0.734694219,0.333334222,0.727272727,0.461538462,0.6,0.236530605,0.924170616,0.733333333,-12.65554629,9.261368331,-28.45720717,-11.50523676,64.09733802,72.39906799,12.52235177,1.261624597,1,1,0.387,1,1,1,0.977,1,0.888,0.9545,0.998,0.996,0.7595,0.001,0.922,1,0.002,0.601,0.986,1,1,0.8915,1,1,1,0.999,0.8415,0.9215
qNet-vmax,0.875,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.244445368,0.734694219,0.333334222,0.75,0.444444444,0.6,0.243924496,0.914691943,0.733333333,-7.812141729,11.0652915,-25.47047032,-1.482009859,64.09733802,41.22437831,12.52235177,0.812209574,1,1,0.267,1,1,0.981,0.981,1,0.873,0.943,0.9965,0.996,0.735,5.00E-04,0.913,1,5.00E-04,0.56,0.9795,1,1,0.947,1,1,1,1,0.88,0.8895
qNet-vrest,0.8734375,0.625,0.75,0.945454545,0.682539683,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.244445368,0.80357165,0.333334222,0.75,0.4,0.6,0.246189475,0.914691943,0.733333333,-7.138430889,10.74573579,-24.00730878,-0.401950394,64.09733802,-88.02084897,12.52235177,0.009432504,1,1,0.2245,1,1,0.957,0.9845,1,0.8495,0.951,0.9945,0.996,0.7555,5.00E-04,0.905,1,5.00E-04,0.603,0.9735,1,1,0.9585,1,1,1,1,0.843,0.8975
qNet-APD50,0.875,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.220000858,0.734694219,0.333334222,0.8,0.444444444,0.6,0.244459299,0.91943128,0.733333333,-8.385385479,11.04999227,-23.95586121,2.432867473,64.09733802,286.8620938,12.52235177,53.76993945,1,1,0.2485,1,1,0.9895,0.976,1,0.876,0.9455,0.9965,0.9955,0.7365,0,0.913,1,5.00E-04,0.558,0.9795,1,1,0.9495,1,1,1,1,0.886,0.894
qNet-APD90,0.875,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.220000858,0.80357165,0.333334222,0.8,0.4,0.6,0.243295304,0.91943128,0.733333333,-8.529022055,10.98694121,-24.10444985,2.670598792,64.09733802,363.9871979,12.52235177,83.19192952,1,1,0.261,1,1,0.991,0.978,1,0.8825,0.9455,0.9975,0.9955,0.7335,0,0.9175,1,5.00E-04,0.551,0.9815,1,1,0.947,1,1,1,1,0.8935,0.8935
qNet-max_dv,0.875,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.220000858,0.734694219,0.333334222,0.8,0.444444444,0.6,0.245340129,0.91943128,0.733333333,-7.804423872,10.9122174,-23.62319449,1.552092901,64.09733802,-0.298881594,12.52235177,0.064078571,1,1,0.248,1,1,0.979,0.983,1,0.874,0.945,0.9965,0.9955,0.729,0,0.9125,1,5.00E-04,0.542,0.98,1,1,0.949,1,1,1,1,0.899,0.8895
qNet-camax,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.249588204,0.914691943,0.733333333,-11.88113995,12.71692143,-25.4870499,6.546498244,64.09733802,0.000245491,12.52235177,1.78E-05,1,0.9995,0.33,1,1,0.9795,0.9835,1,0.8885,0.9865,0.997,0.9935,0.8965,5.00E-04,0.919,1,0.0065,0.9205,0.9845,1,1,0.809,1,1,1,0.9945,0.319,0.9865
qNet-carest,0.875,0.625,0.75,0.945454545,0.698412698,0.864583333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.242729823,0.914691943,0.733333333,-7.694163996,10.48791156,-21.11176493,1.908671779,64.09733802,7.48E-05,12.52235177,9.00E-07,1,1,0.2765,1,1,0.9245,0.993,1,0.847,0.9815,0.991,0.997,0.87,0,0.8995,1,0.002,0.798,0.9735,1,1,0.893,1,1,1,1,0.6085,0.9635
qNet-CaTD50,0.875,0.625,0.75,0.945454545,0.682539683,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.248929275,0.909952607,0.733333333,-7.205594915,10.76629757,-23.72400295,-1.789782895,64.09733802,314.3122396,12.52235177,14.34918714,1,1,0.197,1,1,0.9355,0.986,1,0.843,0.9835,0.9905,0.998,0.882,0.0015,0.906,1,0.001,0.876,0.9765,1,1,0.923,1,1,1,1,0.467,0.9645
qNet-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.244445368,0.80357165,0.333334222,0.75,0.444444444,0.6,0.246252389,0.914691943,0.733333333,-6.95857189,10.6373132,-23.42961517,0.245733034,64.09733802,747.0841354,12.52235177,29.43244193,1,1,0.2255,1,1,0.9495,0.9855,1,0.8485,0.9535,0.994,0.996,0.765,5.00E-04,0.9035,1,5.00E-04,0.613,0.9735,1,1,0.958,1,1,1,1,0.8245,0.904
vrest-max_dv,0.8125,0.625,0.8125,0.927272727,0.777777778,0.916666667,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.244445368,0.734694219,0.30000084,0.727272727,0.444444444,0.666666667,0.252293838,0.91943128,0.733333333,-2.679173134,6.848076221,10.29711647,13.19075709,-88.02084897,-0.298881594,0.009432504,0.064078571,1,0.968,0.7745,0.9995,1,0.941,0.999,1,0.992,0.713,1,0.9665,0.4415,0.0045,0.9555,0.8855,0.072,0.1095,0.969,1,1,0.7255,1,1,1,0.5125,0.999,0.995
APD50-carest,0.75,0.625,0.8125,0.909090909,0.714285714,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.295034644,0.90521327,0.733333333,-3.784779626,0.3513019,7.107410448,1.020077135,286.8620938,7.48E-05,53.76993945,9.00E-07,1,1,0.9045,1,1,1,0.875,1,0.9585,0.0885,1,0.6395,0.174,0,0.967,0.9975,0.0445,0.004,0.995,1,1,0.667,1,1,1,0.001,1,0.9665
APD90-carest,0.75,0.625,0.8125,0.909090909,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.833333333,2.933326244,1.92856725,4.499979,0.275000997,0.80357165,0.30000084,0.666666667,0.4,0.666666667,0.296071106,0.900473934,0.733333333,-3.334018572,0.318806404,6.167693331,1.24628327,363.9871979,7.48E-05,83.19192952,9.00E-07,1,1,0.947,1,1,1,0.929,1,0.9355,0.1915,1,0.7515,0.1985,0,0.9785,0.9975,0.0675,0.0035,0.995,1,1,0.4605,0.999,1,1,5.00E-04,1,0.9865
carest-CaTD90,0.75,0.625,0.8125,0.927272727,0.722222222,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.283097357,0.914691943,0.733333333,-5.369058023,0.453177124,6.273459878,10.80149185,7.48E-05,747.0841354,9.00E-07,29.43244193,1,1,0.8155,1,1,1,0.9335,1,0.9445,0.1615,1,0.742,0.2055,0,0.946,1,0.04,0.0035,0.9865,1,1,0.852,1,1,1,0.153,1,0.907
