Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.571428571,0.666666667,0.211693763,0.928909953,0.766666667,-6.57081832,11.22415807,-31.1353988,25.86907087,14.97653672,72.39906799,-88.02084897,314.3122396,1.261624597,0.009432504,14.34918714,1,0.995,0.654,0.9985,1,0.976,0.998,1,1,0.9845,1,0.9995,0.855,0.0665,0.99,0.9565,0.085,0.7535,0.9485,1,1,0.6775,1,1,1,0.941,0.6045,0.9465
vrest-APD90-carest,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.210683296,0.938388626,0.766666667,-12.67736004,15.45055448,32.02531346,46.07862802,-8.719908322,-88.02084897,363.9871979,7.48E-05,0.009432504,83.19192952,9.00E-07,1,0.9965,0.649,0.9975,1,0.9965,0.9955,1,1,0.983,1,0.9995,0.8515,0.0095,0.994,0.983,0.0975,0.636,0.9905,1,1,0.7285,1,1,1,0.99,0.7345,0.98
vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.213612491,0.938388626,0.766666667,-12.46189473,14.67596012,27.10911316,28.80004942,12.78073478,-88.02084897,363.9871979,747.0841354,0.009432504,83.19192952,29.43244193,1,0.9985,0.565,1,1,0.995,0.9955,1,1,0.982,1,0.9985,0.853,0.0035,0.991,0.9895,0.0775,0.684,0.997,1,1,0.758,1,1,1,0.9945,0.723,0.9785
qNet-dvdtmax-vrest,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.571428571,0.6,0.259245877,0.91943128,0.733333333,-14.25017411,16.66775658,-33.22979978,-18.11199031,9.427585457,64.09733802,72.39906799,-88.02084897,12.52235177,1.261624597,0.009432504,1,0.9985,0.3325,1,1,0.998,0.9925,1,0.927,0.987,0.999,0.998,0.9115,0.005,0.9335,0.999,0.0135,0.9655,0.9975,1,1,0.8285,1,1,0.9995,0.9945,0.017,0.989
qNet-dvdtmax-APD50,0.875,0.625,0.75,0.927272727,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.545454545,0.6,0.26479178,0.909952607,0.733333333,-13.12058381,15.773622,-49.84294881,-29.15249782,-22.05266119,64.09733802,72.39906799,286.8620938,12.52235177,1.261624597,53.76993945,1,0.999,0.283,1,1,0.9985,0.976,0.9995,0.859,0.9825,0.989,0.999,0.9025,0.013,0.932,0.9995,0.0015,0.997,0.9895,0.9995,0.9875,0.877,1,1,0.9985,0.997,0.002,0.9745
qNet-dvdtmax-APD90,0.875,0.625,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.266864206,0.909952607,0.733333333,-12.84223399,14.67925299,-44.12181814,-24.90654788,-16.97326215,64.09733802,72.39906799,363.9871979,12.52235177,1.261624597,83.19192952,1,0.9995,0.2675,1,1,0.9985,0.9655,0.9995,0.834,0.9795,0.986,0.999,0.8755,0.005,0.916,1,5.00E-04,0.947,0.9865,1,1,0.897,1,1,0.999,0.998,0.077,0.9665
qNet-dvdtmax-camax,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.239080973,0.91943128,0.733333333,-15.16437404,14.20709828,-31.82093313,-4.550016421,6.384058001,64.09733802,72.39906799,0.000245491,12.52235177,1.261624597,1.78E-05,1,1,0.3535,1,1,0.998,0.9805,1,0.8965,0.983,0.998,0.994,0.8745,5.00E-04,0.9225,1,0.0065,0.8445,0.9875,1,1,0.824,1,1,1,0.9905,0.5335,0.984
qNet-dvdtmax-carest,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.236721032,0.91943128,0.733333333,-14.52597911,14.7295655,-30.80460662,-7.322116706,4.976380513,64.09733802,72.39906799,7.48E-05,12.52235177,1.261624597,9.00E-07,1,1,0.3675,1,1,0.9975,0.982,1,0.9015,0.983,0.998,0.9945,0.8665,5.00E-04,0.922,1,0.007,0.7915,0.9895,1,1,0.8175,1,1,1,0.9905,0.619,0.984
qNet-dvdtmax-CaTD50,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.265598232,0.914691943,0.733333333,-16.65922242,15.23267079,-42.23962033,-12.08607663,-6.099097677,64.09733802,72.39906799,314.3122396,12.52235177,1.261624597,14.34918714,1,0.9985,0.287,1,1,0.998,0.98,0.9995,0.878,0.9875,0.995,0.9975,0.914,0.003,0.924,1,0.003,0.9695,0.9895,1,1,0.841,1,1,0.999,0.995,0.016,0.988
qNet-dvdtmax-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.241913446,0.91943128,0.733333333,-13.99830293,15.17540125,-37.21220878,-13.01499381,-6.848795812,64.09733802,72.39906799,747.0841354,12.52235177,1.261624597,29.43244193,1,1,0.3235,1,1,0.9965,0.98,1,0.8835,0.982,0.997,0.9965,0.876,0.0025,0.923,1,0.003,0.8685,0.9895,1,1,0.8375,1,1,1,0.9915,0.4915,0.9815
