Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.571428571,0.666666667,0.21751755,0.938388626,0.766666667,-14.34688693,15.34504323,-7.695779836,32.56572847,26.72553517,17.20325019,72.39906799,-88.02084897,363.9871979,747.0841354,1.261624597,0.009432504,83.19192952,29.43244193,1,0.9975,0.549,0.9985,1,0.9985,0.996,1,1,0.989,1,1,0.8915,0.0125,0.993,0.988,0.091,0.8365,0.995,1,1,0.7385,1,1,1,0.998,0.4795,0.982
dvdtmax-vrest-max_dv-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.21474628,0.938388626,0.766666667,-11.65207428,14.50533349,-11.82825992,31.61013879,16.85285854,18.73642449,72.39906799,-88.02084897,-0.298881594,747.0841354,1.261624597,0.009432504,0.064078571,29.43244193,1,0.986,0.545,0.9975,1,0.998,0.998,1,1,0.9845,1,1,0.8415,0.029,0.9905,0.9735,0.0935,0.6075,0.9865,1,1,0.731,1,1,1,0.9985,0.7975,0.958
vmax-vrest-APD90-carest,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.215407633,0.938388626,0.766666667,-11.96637168,14.08490387,4.719547517,24.80440466,41.60540497,-6.492346265,41.22437831,-88.02084897,363.9871979,7.48E-05,0.812209574,0.009432504,83.19192952,9.00E-07,1,0.9985,0.553,1,1,0.995,0.995,1,1,0.979,1,0.9975,0.8535,0.003,0.991,0.99,0.074,0.652,0.998,1,1,0.772,1,1,1,0.994,0.729,0.9775
vmax-vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.214620306,0.938388626,0.766666667,-12.31485989,14.1883162,1.596614455,25.09793174,28.97506314,11.64033141,41.22437831,-88.02084897,363.9871979,747.0841354,0.812209574,0.009432504,83.19192952,29.43244193,1,0.9985,0.546,1,1,0.995,0.9955,1,1,0.98,1,0.9965,0.852,0.003,0.989,0.991,0.069,0.6825,0.9975,1,1,0.77,1,1,1,0.9945,0.7295,0.9785
vrest-APD90-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.211092774,0.938388626,0.766666667,-12.86254601,15.36386074,32.4643457,46.41230363,0.883596454,-9.588860224,-88.02084897,363.9871979,0.000245491,7.48E-05,0.009432504,83.19192952,1.78E-05,9.00E-07,1,0.9965,0.651,0.997,1,0.997,0.9955,1,1,0.9835,1,0.9995,0.856,0.01,0.994,0.983,0.0995,0.649,0.99,1,1,0.7265,1,1,1,0.9895,0.708,0.9805
vrest-APD90-carest-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.746031746,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.214557319,0.938388626,0.766666667,-12.47625611,14.14530741,25.03837832,22.26173285,3.472848274,17.67665764,-88.02084897,363.9871979,7.48E-05,747.0841354,0.009432504,83.19192952,9.00E-07,29.43244193,1,0.9985,0.544,1,1,0.9945,0.9955,1,0.9995,0.9805,1,0.997,0.85,0.003,0.9885,0.993,0.0675,0.6955,0.9975,1,1,0.772,1,1,1,0.994,0.7215,0.978
vrest-APD90-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.761904762,0.90625,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.218305622,0.938388626,0.766666667,-17.44631834,12.20286705,31.72298306,32.78462318,-8.679421919,28.39518514,-88.02084897,363.9871979,314.3122396,747.0841354,0.009432504,83.19192952,14.34918714,29.43244193,1,0.9955,0.5255,0.9985,1,0.9995,0.9955,1,1,0.9895,1,0.9995,0.901,0.0095,0.9935,0.989,0.091,0.8675,0.9965,1,1,0.7595,1,1,1,0.9985,0.4325,0.983
qNet-dvdtmax-vmax-max_dv,0.875,0.625,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.533333333,0.6,0.272042791,0.914691943,0.733333333,-23.4085757,9.665685047,-25.95530807,-53.08580271,28.46534499,5.732809684,64.09733802,72.39906799,41.22437831,-0.298881594,12.52235177,1.261624597,0.812209574,0.064078571,1,0.9995,0.1905,1,1,1,0.9675,1,0.8585,0.99,0.9935,0.9955,0.9305,0.002,0.917,1,0.0025,0.9995,0.9835,0.9995,0.9765,0.8535,1,1,1,0.999,0.0035,0.9885
qNet-dvdtmax-vmax-camax,0.8125,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.271411867,0.914691943,0.733333333,-18.81392423,15.00029763,-32.44980265,-22.7275673,11.6925102,5.785990538,64.09733802,72.39906799,41.22437831,0.000245491,12.52235177,1.261624597,0.812209574,1.78E-05,1,0.9995,0.2395,1,1,0.9995,0.9765,1,0.8735,0.989,0.9955,0.9945,0.932,0.0015,0.9215,1,0.0035,0.9995,0.9865,0.9995,0.9375,0.831,1,1,1,0.997,0.004,0.9915
qNet-dvdtmax-vmax-carest,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.545454545,0.6,0.268047062,0.914691943,0.733333333,-18.29260053,15.57081363,-31.30141836,-25.58472374,12.0613667,4.694865965,64.09733802,72.39906799,41.22437831,7.48E-05,12.52235177,1.261624597,0.812209574,9.00E-07,1,0.9995,0.2425,1,1,0.999,0.9775,1,0.875,0.9885,0.996,0.9945,0.9285,0.002,0.9215,1,0.0045,0.9985,0.986,0.9995,0.999,0.82,1,1,1,0.9975,0.0045,0.9915
qNet-dvdtmax-vrest-APD50,0.8125,0.625,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.250248711,0.924170616,0.733333333,-14.25727916,16.13616413,-27.96799549,-13.98670334,10.95479293,6.189681057,64.09733802,72.39906799,-88.02084897,286.8620938,12.52235177,1.261624597,0.009432504,53.76993945,1,0.9985,0.365,1,1,0.998,0.994,1,0.9405,0.987,0.9995,0.9975,0.901,0.004,0.933,1,0.016,0.934,0.998,1,1,0.8165,1,1,1,0.9935,0.165,0.9885
qNet-dvdtmax-vrest-APD90,0.8125,0.625,0.75,0.927272727,0.714285714,0.875,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.571428571,0.6,0.242604784,0.924170616,0.733333333,-14.15257727,15.84140995,-27.20995983,-12.64640806,10.95265964,7.404070403,64.09733802,72.39906799,-88.02084897,363.9871979,12.52235177,1.261624597,0.009432504,83.19192952,1,0.9985,0.39,1,1,0.998,0.995,1,0.9485,0.987,1,0.997,0.899,0.004,0.9415,0.999,0.0235,0.9235,0.998,1,1,0.8085,1,1,1,0.993,0.2585,0.9875
qNet-dvdtmax-vrest-max_dv,0.875,0.625,0.75,0.945454545,0.698412698,0.84375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.259089448,0.91943128,0.733333333,-14.46625865,16.98466201,-35.03696508,-19.38590098,9.128367854,-1.501346673,64.09733802,72.39906799,-88.02084897,-0.298881594,12.52235177,1.261624597,0.009432504,0.064078571,1,0.9985,0.32,1,1,0.998,0.991,1,0.917,0.987,0.999,0.998,0.9185,0.0055,0.9335,0.9995,0.0115,0.995,0.9975,0.9995,0.9985,0.834,1,1,0.999,0.9945,0.004,0.99
qNet-dvdtmax-vrest-camax,0.875,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.256982697,0.91943128,0.733333333,-13.83248958,16.98641802,-33.20843358,-20.86194555,11.25917514,-1.661169788,64.09733802,72.39906799,-88.02084897,0.000245491,12.52235177,1.261624597,0.009432504,1.78E-05,1,0.9985,0.326,1,1,0.998,0.9935,1,0.9355,0.9865,0.9995,0.9985,0.918,0.0085,0.94,0.999,0.0155,0.9925,0.9975,0.9995,0.9995,0.831,1,1,0.999,0.995,0.004,0.989
qNet-dvdtmax-vrest-carest,0.875,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.256951252,0.91943128,0.733333333,-14.00729106,16.96986813,-33.67003699,-20.60077088,11.6544554,-1.515311081,64.09733802,72.39906799,-88.02084897,7.48E-05,12.52235177,1.261624597,0.009432504,9.00E-07,1,0.9985,0.3225,1,1,0.998,0.993,1,0.934,0.9865,0.9995,0.9985,0.9195,0.009,0.9415,0.999,0.0155,0.995,0.998,0.9995,0.9985,0.832,1,1,0.999,0.995,0.0035,0.9895
qNet-dvdtmax-vrest-CaTD50,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.571428571,0.6,0.259245877,0.91943128,0.733333333,-14.23422355,16.66889793,-33.17339728,-18.13572984,9.469859614,0.032294345,64.09733802,72.39906799,-88.02084897,314.3122396,12.52235177,1.261624597,0.009432504,14.34918714,1,0.9985,0.3325,1,1,0.998,0.9925,1,0.927,0.987,0.999,0.998,0.911,0.005,0.9335,0.999,0.0135,0.9655,0.9975,1,1,0.8285,1,1,0.9995,0.9945,0.0175,0.989
qNet-dvdtmax-APD50-APD90,0.875,0.625,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857545,0.333334222,0.75,0.571428571,0.6,0.253209837,0.91943128,0.733333333,-12.31854643,14.95627826,-49.03625528,-23.63964813,-72.09970787,53.12413762,64.09733802,72.39906799,286.8620938,363.9871979,12.52235177,1.261624597,53.76993945,83.19192952,1,0.998,0.3395,1,1,0.9985,0.9965,1,0.954,0.988,0.9995,1,0.917,0.0185,0.9675,0.9985,0.027,0.997,0.989,0.9995,0.968,0.839,1,1,0.999,0.9985,0.002,0.9745
qNet-dvdtmax-APD50-camax,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.262202143,0.914691943,0.733333333,-15.20541626,15.85695768,-41.20386734,-14.99391704,-10.07772844,5.029442998,64.09733802,72.39906799,286.8620938,0.000245491,12.52235177,1.261624597,53.76993945,1.78E-05,1,0.999,0.3045,1,1,0.998,0.98,1,0.8785,0.9845,0.996,0.9975,0.8985,0.003,0.924,1,0.003,0.95,0.991,1,1,0.84,1,1,1,0.9935,0.086,0.986
qNet-dvdtmax-APD50-carest,0.8125,0.625,0.75,0.945454545,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.254276714,0.91943128,0.733333333,-14.624332,16.02838756,-39.40318241,-16.34470878,-9.24543638,3.976042359,64.09733802,72.39906799,286.8620938,7.48E-05,12.52235177,1.261624597,53.76993945,9.00E-07,1,0.999,0.3105,1,1,0.9975,0.9815,1,0.885,0.9845,0.9955,0.997,0.8915,0.0025,0.9245,1,0.003,0.933,0.992,1,1,0.8335,1,1,1,0.993,0.2295,0.986
qNet-dvdtmax-APD50-CaTD50,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.545454545,0.6,0.265629668,0.914691943,0.733333333,-16.63758062,15.27976208,-42.45854513,-12.36527234,-0.340492517,-6.043404194,64.09733802,72.39906799,286.8620938,314.3122396,12.52235177,1.261624597,53.76993945,14.34918714,1,0.9985,0.287,1,1,0.998,0.98,0.9995,0.878,0.9875,0.995,0.9975,0.914,0.003,0.924,1,0.0025,0.971,0.9895,1,1,0.841,1,1,0.999,0.995,0.0145,0.988
qNet-dvdtmax-APD50-CaTD90,0.8125,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.253554984,0.914691943,0.733333333,-13.94552414,15.70019556,-41.24457005,-17.63501436,-5.804846009,-5.629056046,64.09733802,72.39906799,286.8620938,747.0841354,12.52235177,1.261624597,53.76993945,29.43244193,1,0.9995,0.306,1,1,0.998,0.9795,0.9995,0.8765,0.983,0.995,0.998,0.8865,0.0035,0.9235,1,0.0025,0.9235,0.991,1,1,0.846,1,1,1,0.9935,0.257,0.9835
qNet-dvdtmax-APD90-camax,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.245970877,0.91943128,0.733333333,-15.21245175,14.89707892,-35.24700606,-8.759164848,-4.031037184,5.95267801,64.09733802,72.39906799,363.9871979,0.000245491,12.52235177,1.261624597,83.19192952,1.78E-05,1,1,0.316,1,1,0.9975,0.9795,1,0.8845,0.9835,0.9965,0.9955,0.8845,0.002,0.923,1,0.0035,0.8955,0.9875,1,1,0.8335,1,1,1,0.991,0.4025,0.985
qNet-dvdtmax-APD90-carest,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.241629487,0.91943128,0.733333333,-14.5744637,15.31165745,-34.02130968,-11.10970934,-3.834770814,4.653802751,64.09733802,72.39906799,363.9871979,7.48E-05,12.52235177,1.261624597,83.19192952,9.00E-07,1,1,0.327,1,1,0.998,0.9805,1,0.8895,0.9835,0.9965,0.9955,0.878,0.002,0.922,1,0.0045,0.86,0.9895,1,1,0.8245,1,1,1,0.991,0.5065,0.9845
