Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-vrest-max_dv-camax,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.26572164,0.91943128,0.733333333,-17.12593374,16.63104404,-25.13673747,-37.91766002,15.43939227,13.11673129,8.286254548,-3.626271531,64.09733802,72.39906799,41.22437831,-88.02084897,-0.298881594,0.000245491,12.52235177,1.261624597,0.812209574,0.009432504,0.064078571,1.78E-05,1,0.9965,0.235,1,1,1,0.9945,1,0.938,0.992,0.9985,0.9975,0.934,0.0075,0.9335,1,0.0165,0.9995,0.998,0.9995,0.9355,0.828,1,1,1,1,0.003,0.991
qNet-dvdtmax-vmax-APD50-max_dv-camax,0.8125,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.269809641,0.914691943,0.733333333,-19.20882765,14.75529637,-34.06578898,-41.99176717,20.6781369,-25.14668401,18.92952872,2.994346859,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,1,0.997,0.201,1,1,0.9995,0.986,0.9985,0.895,0.99,0.995,0.997,0.92,0.0035,0.919,1,0.008,0.958,0.9945,1,1,0.8125,1,1,1,0.998,0.0515,0.9885
qNet-dvdtmax-vmax-APD50-max_dv-carest,0.875,0.625,0.75,0.945454545,0.698015873,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.545454545,0.6,0.269808091,0.914691943,0.733333333,-18.79988408,15.06727616,-33.41115165,-41.63729112,19.80394259,-22.98086738,17.15380671,2.586902262,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,7.48E-05,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,9.00E-07,1,0.997,0.2055,1,1,0.9995,0.9855,0.9985,0.895,0.99,0.995,0.997,0.9205,0.0035,0.919,1,0.008,0.9595,0.9945,1,1,0.811,1,1,1,0.998,0.0455,0.989
qNet-dvdtmax-vmax-APD50-max_dv-CaTD50,0.8125,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.268803021,0.914691943,0.733333333,-19.6878967,13.99662116,-34.79102213,-39.68443523,19.45941075,-19.26864251,18.20102404,-3.156433234,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,314.3122396,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,14.34918714,1,0.997,0.205,1,1,0.9995,0.986,0.9985,0.893,0.99,0.995,0.997,0.917,0.0035,0.92,1,0.007,0.9545,0.9945,1,1,0.8195,1,1,1,0.9985,0.0645,0.9875
qNet-dvdtmax-vmax-APD50-max_dv-CaTD90,0.8125,0.625,0.75,0.945454545,0.682539683,0.833072917,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.269212425,0.914691943,0.733333333,-19.4060802,14.55138564,-34.01145024,-48.94312535,24.0847305,-25.64375525,21.28301761,-2.482199214,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,29.43244193,1,0.997,0.185,1,1,0.9995,0.9855,0.9985,0.892,0.99,0.9945,0.997,0.9165,0.0045,0.9165,1,0.007,0.9525,0.9945,1,1,0.822,1,1,1,0.9985,0.082,0.9875
qNet-dvdtmax-vmax-APD50-camax-carest,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.268896544,0.914691943,0.733333333,-16.4622068,17.15370712,-32.00578367,-36.9023217,12.44753564,-4.219862723,-15.89883155,16.39393458,64.09733802,72.39906799,41.22437831,286.8620938,0.000245491,7.48E-05,12.52235177,1.261624597,0.812209574,53.76993945,1.78E-05,9.00E-07,1,0.9985,0.233,1,1,0.9995,0.979,0.999,0.875,0.99,0.9925,0.997,0.923,0.0025,0.9205,1,0.0035,0.999,0.9905,1,0.999,0.8155,1,1,1,0.998,0.0105,0.9915
qNet-dvdtmax-vmax-APD50-carest-CaTD50,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.269024604,0.914691943,0.733333333,-17.55559526,16.71457507,-36.68982709,-29.39324171,10.50277057,-7.376752502,4.720259238,0.938164351,64.09733802,72.39906799,41.22437831,286.8620938,7.48E-05,314.3122396,12.52235177,1.261624597,0.812209574,53.76993945,9.00E-07,14.34918714,1,0.9985,0.238,1,1,0.9995,0.978,0.9995,0.8705,0.9895,0.994,0.9965,0.9275,0.0025,0.9225,1,0.0025,1,0.9875,0.9995,0.9825,0.833,1,1,0.999,0.9975,0.003,0.9915
qNet-dvdtmax-vmax-APD50-carest-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.260125479,0.91943128,0.733333333,-17.56259262,16.25740328,-37.24775028,-27.52863525,0.644955339,-59.20585615,31.24049116,49.17920815,64.09733802,72.39906799,41.22437831,286.8620938,7.48E-05,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,9.00E-07,29.43244193,1,0.9985,0.256,1,1,0.9995,0.9865,1,0.9565,0.991,0.9945,0.9975,0.93,0.005,0.9365,1,0.0195,1,0.9945,0.9995,0.9975,0.811,1,1,0.9995,1,0.008,0.9925
qNet-dvdtmax-vmax-APD50-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.666666667,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.258429925,0.91943128,0.733333333,-31.54965682,1.131817385,-48.82032823,34.2986188,-17.04202176,25.1938572,-48.79653634,52.5867259,64.09733802,72.39906799,41.22437831,286.8620938,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,14.34918714,29.43244193,1,0.9965,0.351,1,0.9995,1,0.9845,0.9975,0.9,0.9905,0.9965,0.9975,0.9255,0.002,0.9335,1,0.007,0.972,0.992,1,0.9985,0.8605,1,0.9825,1,1,0.0185,0.989
qNet-dvdtmax-vmax-APD90-camax-carest,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.268864335,0.91943128,0.733333333,-16.91645289,16.2569463,-23.96211112,-35.17801622,15.79464501,3.750294487,-18.65536976,19.32514724,64.09733802,72.39906799,41.22437831,363.9871979,0.000245491,7.48E-05,12.52235177,1.261624597,0.812209574,83.19192952,1.78E-05,9.00E-07,1,0.9995,0.238,1,1,0.9995,0.9805,0.999,0.8975,0.9895,0.9945,0.993,0.9235,0.0015,0.9195,1,0.0085,0.9985,0.988,1,0.999,0.78,1,1,1,0.9995,0.0195,0.9915
