Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857545,0.333334222,0.666666667,0.571428571,0.6,0.257325442,0.924170616,0.733333333,-26.0561242,6.746238758,-62.96541159,-36.82205712,30.04308665,-27.23674233,-189.9941849,183.1428363,3.028984392,-10.02186545,64.09733802,72.39906799,41.22437831,-88.02084897,286.8620938,363.9871979,7.48E-05,314.3122396,12.52235177,1.261624597,0.812209574,0.009432504,53.76993945,83.19192952,9.00E-07,14.34918714,1,0.9975,0.3405,1,1,1,0.995,0.9995,0.9515,0.992,1,0.9975,0.941,0.0025,0.966,0.997,0.024,0.9995,0.9985,0.9995,0.924,0.814,1,1,0.9985,1,0.002,0.9935
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.625,0.75,0.945454545,0.682539683,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.254779878,0.928909953,0.733333333,-32.68681022,-0.073367798,-64.09211316,-29.01343401,28.50623156,-27.57181858,-178.6472687,185.4364149,-23.727027,13.34741202,64.09733802,72.39906799,41.22437831,-88.02084897,286.8620938,363.9871979,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,0.009432504,53.76993945,83.19192952,14.34918714,29.43244193,1,0.997,0.383,1,1,1,0.995,0.998,0.948,0.992,1,0.997,0.9425,0.002,0.968,0.997,0.024,0.9985,0.998,0.9995,0.9255,0.823,1,0.9905,0.999,1,0.003,0.993
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.271001718,0.919312796,0.733333333,-17.9705534,15.61192407,-31.32008609,-44.81827897,19.79818517,-20.10192215,14.62918274,-8.138702935,9.216919441,0.31948346,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,314.3122396,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.997,0.2045,1,1,0.999,0.984,0.9985,0.8965,0.9905,0.9945,0.997,0.918,0.004,0.918,1,0.0075,0.96,0.993,1,1,0.8005,1,1,1,0.998,0.039,0.989
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD90,0.875,0.625,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.2601915,0.91943128,0.733333333,-25.42332691,9.450330872,-42.08811652,-17.44137565,2.00693587,-119.5526166,19.24407642,52.44369186,11.34552213,90.11159677,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,29.43244193,1,0.9985,0.258,1,1,1,0.993,1,0.96,0.991,0.9985,0.9975,0.937,0.0035,0.9405,1,0.028,1,0.9975,0.9995,0.976,0.816,1,1,0.999,1,0.0025,0.9925
qNet-dvdtmax-vmax-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.822916667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.25572802,0.924170616,0.733333333,-41.88486044,-6.541417512,-54.80017002,53.39735446,-25.85828849,-67.90326127,9.823393335,59.48092673,-50.22818784,139.25409,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,14.34918714,29.43244193,1,0.998,0.391,1,1,1,0.9925,1,0.95,0.99,0.999,0.9975,0.9415,0.002,0.9465,0.999,0.029,1,0.9965,0.9995,0.8705,0.8605,1,1,0.9995,1,0.002,0.9915
qNet-dvdtmax-vmax-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.249118793,0.924170616,0.733333333,-32.44476596,0.510082209,-48.11254004,41.00292469,-27.7076373,-10.59427072,-8.484095556,25.55333748,-50.13881683,99.60120337,64.09733802,72.39906799,41.22437831,286.8620938,-0.298881594,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,0.064078571,9.00E-07,14.34918714,29.43244193,1,0.997,0.388,1,1,1,0.9905,1,0.9505,0.991,0.9965,0.998,0.9355,0.002,0.9425,0.9995,0.0235,1,0.9955,1,0.991,0.853,1,1,0.9995,1,0.0085,0.992
qNet-dvdtmax-vmax-APD50-camax-carest-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.247266171,0.924170616,0.733333333,-41.19954754,-6.325102541,-55.26586154,61.1690811,-33.49474946,-53.40545374,43.84143622,11.89726501,-56.26866795,145.1427536,64.09733802,72.39906799,41.22437831,286.8620938,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,53.76993945,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9985,0.4105,1,1,1,0.992,1,0.9525,0.9905,0.999,0.9975,0.9395,0.002,0.951,0.9995,0.0275,1,0.997,0.9995,0.973,0.87,1,1,0.998,1,0.002,0.992
qNet-dvdtmax-vmax-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.256170628,0.91943128,0.733333333,-42.21188066,-9.602612998,-41.26837404,29.65380336,-5.474310954,40.69504379,6.299642391,-4.265430781,-58.93177592,71.38384231,64.09733802,72.39906799,41.22437831,363.9871979,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,83.19192952,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9965,0.444,1,1,1,0.9925,0.998,0.941,0.992,0.999,0.997,0.934,5.00E-04,0.945,0.9995,0.019,0.9855,0.997,0.9995,0.9895,0.844,1,0.873,1,1,0.014,0.99
qNet-dvdtmax-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.682539683,0.822916667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.244371335,0.924170616,0.733333333,-44.28259087,-10.1545558,-57.38517021,85.75503009,-44.03488397,-11.00454017,23.58758641,12.38400161,-76.75960489,140.8893225,64.09733802,72.39906799,41.22437831,-0.298881594,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,0.812209574,0.064078571,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9975,0.447,1,1,1,0.99,1,0.9435,0.991,0.998,0.9975,0.938,0.001,0.9475,0.9995,0.021,1,0.995,0.9995,0.9835,0.8895,1,0.9985,0.998,1,0.004,0.9915
qNet-dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.714285714,0.864583333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.571428571,0.6,0.24707185,0.928909953,0.733333333,-20.07108601,10.71609451,-33.76785052,-0.549032398,8.918449073,-0.155010318,35.73779557,-3.266497514,-8.756559649,-16.66072411,64.09733802,72.39906799,-88.02084897,286.8620938,363.9871979,0.000245491,7.48E-05,314.3122396,12.52235177,1.261624597,0.009432504,53.76993945,83.19192952,1.78E-05,9.00E-07,14.34918714,1,0.9975,0.4105,1,1,0.999,0.994,1,0.95,0.9895,1,0.9985,0.913,0.003,0.9565,0.999,0.028,0.946,0.999,0.9995,1,0.813,1,1,1,0.9985,0.1045,0.9895
