"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,0.714285714285714,0.610169491525424,0.583892617449664,0.673575129533679,0.735714285714286,0.8,0.866666666666667,1
"dvdtmax",0,0.0714285714285714,0.186440677966102,0.369127516778524,0.492227979274611,0.628571428571429,0.733333333333333,0.866666666666667,1
"vmax",0,0.0714285714285714,0.135593220338983,0.288590604026846,0.414507772020725,0.485714285714286,0.6,0.8,1
"vrest",0,0.142857142857143,0.423728813559322,0.463087248322148,0.430051813471503,0.357142857142857,0.266666666666667,0.333333333333333,0
"APD50",0,0.142857142857143,0.203389830508475,0.295302013422819,0.393782383419689,0.528571428571429,0.733333333333333,0.866666666666667,1
"APD90",0,0.142857142857143,0.271186440677966,0.308724832214765,0.357512953367876,0.392857142857143,0.433333333333333,0.466666666666667,0
"max_dv",0,0.142857142857143,0.152542372881356,0.261744966442953,0.362694300518135,0.45,0.516666666666667,0.533333333333333,1
"camax",0,0.0714285714285714,0.254237288135593,0.355704697986577,0.440414507772021,0.564285714285714,0.65,0.666666666666667,1
"carest",0,0.285714285714286,0.305084745762712,0.442953020134228,0.564766839378238,0.707142857142857,0.783333333333333,0.866666666666667,1
"CaTD50",0,0.0714285714285714,0.23728813559322,0.302013422818792,0.440414507772021,0.621428571428571,0.8,0.933333333333333,1
"CaTD90",0,0.142857142857143,0.220338983050847,0.328859060402685,0.430051813471503,0.528571428571429,0.683333333333333,0.8,1
