"Feature","1","2","3","4","5","6","7","8","9"
"qNet",0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"dvdtmax",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"vmax",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"vrest",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0
"APD50",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"APD90",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0
"max_dv",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"camax",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"carest",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"CaTD50",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
"CaTD90",0,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
