"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,1,1,1,1,1,0.94487782420319,0.379437046135366
"dvdtmax",0,0.404299574841237,1,1,1,1,1,1,0.36940314451223
"vmax",0,0.0581854139472364,0.61931257250546,0.801186655137038,0.68153934752391,0.752282972948871,0.608748482297575,0.534327212987127,0.201796072893712
"vrest",0,0.780631194990795,1,1,1,1,0.966504321143265,0.249552299764302,0
"APD50",0,1,1,1,1,1,1,1,0.459550117917835
"APD90",0,1,1,1,1,1,1,1,0
"max_dv",0,1,1,1,1,1,0.900768237507058,0.955905746215449,0.0336276885524648
"camax",0,0.256855864828828,1,1,1,1,0.924760468775303,0.936746102167036,0.338567275790068
"carest",0,0.580795686847646,0.996696998157225,0.823303528643909,0.864045598825845,0.988598221801451,1,1,0.07272131441365
"CaTD50",0,0.0754418594017246,1,0.80689163026514,0.853290417614282,0.92792497545469,0.968492958204721,0.825561836025523,0.356318147862272
"CaTD90",0,1,1,1,1,1,1,1,1
