Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD50-APD90-max_dv-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.246302207,0.91943128,0.777777778,-21.80494426,1.465215425,-29.48067549,33.48713952,-50.27514464,49.06370107,89.28855544,286.8620938,363.9871979,-0.298881594,7.48E-05,747.0841354,53.76993945,83.19192952,0.064078571,9.00E-07,29.43244193,1,1,0.509,1,1,1,0.9555,1,0.953,0.9265,0.998,0.9545,0.8795,0,0.934,0.998,0.0205,0.973,0.983,0.982,0.9755,0.955,1,1,0.9015,0.973,0.0905,0.983
APD50-max_dv-camax-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.250874031,0.914691943,0.777777778,-21.01456997,2.093248716,-28.97607793,-35.16686748,9.983562943,47.69922438,100.2683549,286.8620938,-0.298881594,0.000245491,7.48E-05,747.0841354,53.76993945,0.064078571,1.78E-05,9.00E-07,29.43244193,1,1,0.4055,1,1,0.9995,0.943,1,0.9275,0.937,0.996,0.9575,0.8855,0,0.9215,0.9955,0.02,0.973,0.979,0.992,0.991,0.95,1,1,0.95,0.9735,0.099,0.984
APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.24671352,0.91943128,0.777777778,-31.42807464,-8.431277177,-14.97269666,-34.23519572,52.89596729,-21.67004822,126.635541,286.8620938,-0.298881594,7.48E-05,314.3122396,747.0841354,53.76993945,0.064078571,9.00E-07,14.34918714,29.43244193,1,1,0.443,1,1,1,0.947,1,0.9355,0.939,0.997,0.964,0.876,0,0.9235,0.9955,0.0195,0.9575,0.979,0.988,0.99,0.95,1,1,0.9605,0.974,0.1215,0.9835
APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.242261127,0.924170616,0.777777778,-37.42076332,-13.72596373,15.64441944,-46.62648793,47.68289096,-25.48518182,123.5912725,363.9871979,-0.298881594,7.48E-05,314.3122396,747.0841354,83.19192952,0.064078571,9.00E-07,14.34918714,29.43244193,1,1,0.5405,1,1,1,0.9495,1,0.9395,0.936,0.997,0.956,0.8775,0,0.931,0.998,0.017,0.98,0.979,0.986,0.9835,0.951,1,1,0.932,0.9755,0.093,0.9835
dvdtmax-APD50-max_dv-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.247325092,0.924170616,0.777777778,-23.76418151,-0.044763195,-15.97305176,-40.12058187,-36.91951117,61.24701327,112.2729883,72.39906799,286.8620938,-0.298881594,7.48E-05,747.0841354,1.261624597,53.76993945,0.064078571,9.00E-07,29.43244193,1,1,0.4645,1,1,1,0.951,1,0.925,0.939,0.995,0.9705,0.8655,0,0.921,0.996,0.022,0.9105,0.9805,0.9835,0.996,0.9215,1,1,0.9625,0.9775,0.161,0.9835
dvdtmax-APD90-camax-carest-CaTD50,0.75,0.625,0.8125,0.909090909,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.80357165,0.30000084,0.666666667,0.4,0.666666667,0.281121698,0.90521327,0.777777778,-2.728974659,2.342126933,2.443045002,13.41657887,-11.73892403,8.26318375,-2.618566391,72.39906799,363.9871979,0.000245491,7.48E-05,314.3122396,1.261624597,83.19192952,1.78E-05,9.00E-07,14.34918714,1,1,0.8075,1,1,0.958,0.967,1,0.922,0.2785,1,0.859,0.263,0,0.9645,0.9945,0.059,0.0035,0.9925,1,1,0.7045,1,1,1,0.1585,1,0.9275
dvdtmax-APD90-camax-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.285714286,0.75,0.818181818,0.666666667,0.747916667,5.49997525,1.714283571,2.999992,0.4000006,0.80357165,0.333334222,0.727272727,0.4,0.6,0.259055649,0.91943128,0.777777778,-14.53134519,6.068032366,-18.81131567,-74.06812475,-5.281155523,53.89035487,87.4066769,72.39906799,363.9871979,0.000245491,7.48E-05,747.0841354,1.261624597,83.19192952,1.78E-05,9.00E-07,29.43244193,1,1,0.169,1,1,0.999,0.868,1,0.8345,0.9375,0.9905,0.976,0.8235,0,0.848,0.997,0.0145,0.7145,0.939,1,1,0.871,1,1,1,0.954,0.6825,0.973
dvdtmax-APD90-max_dv-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.488889514,0.734694219,0.333334222,0.6,0.5,0.6,0.260406102,0.924170616,0.777777778,-24.3591318,-0.196417588,-4.269985912,17.56008481,-52.38205749,43.58807251,78.59288163,72.39906799,363.9871979,-0.298881594,7.48E-05,747.0841354,1.261624597,83.19192952,0.064078571,9.00E-07,29.43244193,1,1,0.5215,1,1,1,0.9405,1,0.8935,0.9415,0.9975,0.952,0.8795,0,0.9295,0.997,0.0105,0.9845,0.974,0.9905,0.7835,0.947,1,1,0.933,0.978,0.0765,0.9835
dvdtmax-max_dv-camax-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.251192268,0.924170616,0.777777778,-18.80370742,5.356702315,-20.70132247,-43.07353621,-28.42192824,64.87657276,75.08466318,72.39906799,-0.298881594,0.000245491,7.48E-05,747.0841354,1.261624597,0.064078571,1.78E-05,9.00E-07,29.43244193,1,1,0.457,1,1,0.9995,0.936,1,0.8785,0.95,0.9945,0.9705,0.864,0,0.9165,0.998,0.0175,0.8705,0.975,0.9925,0.996,0.8955,1,1,0.985,0.9805,0.2065,0.983
dvdtmax-max_dv-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.242353902,0.928909953,0.777777778,-38.17875088,-14.42314973,-5.069489,-40.53723835,51.22558057,-26.4691376,131.4463007,72.39906799,-0.298881594,7.48E-05,314.3122396,747.0841354,1.261624597,0.064078571,9.00E-07,14.34918714,29.43244193,1,1,0.5215,1,1,1,0.945,1,0.925,0.9405,0.997,0.9615,0.8755,0,0.9245,0.9975,0.0175,0.9695,0.976,0.9875,0.989,0.9445,1,1,0.956,0.9765,0.114,0.9835
dvdtmax-vmax-APD50-camax-carest,0.8125,0.625,0.75,0.927272727,0.666666667,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999988,0.4000006,0.734694219,0.375000937,0.727272727,0.5,0.545454545,0.28631264,0.909952607,0.777777778,-21.39760758,9.807159725,-89.95991224,43.99975869,20.81592535,-56.59073565,44.62218649,72.39906799,41.22437831,286.8620938,0.000245491,7.48E-05,1.261624597,0.812209574,53.76993945,1.78E-05,9.00E-07,1,0.998,0.1605,1,0.991,1,0.966,0.996,0.79,0.988,0.99,0.99,0.9135,0,0.892,0.9995,0.0055,0.9975,0.985,1,0.999,0.747,1,1,1,0.997,0.023,0.9905
dvdtmax-vmax-APD50-carest-CaTD90,0.875,0.625,0.75,0.927272727,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.261131605,0.924170616,0.777777778,-36.15100191,-5.690753278,-89.02442113,40.65817094,-60.17731745,45.56725315,90.70535279,72.39906799,41.22437831,286.8620938,7.48E-05,747.0841354,1.261624597,0.812209574,53.76993945,9.00E-07,29.43244193,1,1,0.2955,1,1,1,0.97,1,0.9605,0.9855,0.994,0.985,0.9225,0,0.912,0.999,0.02,1,0.9865,0.9995,0.997,0.7995,1,1,0.996,0.9975,0.013,0.9915
dvdtmax-vmax-APD50-max_dv-camax,0.8125,0.625,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.260794369,0.909952607,0.777777778,-32.53080977,-1.481447598,-117.6088015,73.70297108,-21.8804807,44.80162113,-8.391800121,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,1,0.994,0.1015,1,1,1,0.9685,0.9955,0.8925,0.982,0.9895,0.9925,0.8965,0.001,0.8855,0.999,0.0065,0.8745,0.986,1,1,0.776,1,1,1,0.995,0.49,0.984
dvdtmax-vmax-APD50-max_dv-carest,0.8125,0.625,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.261895563,0.909952607,0.777777778,-32.48629877,-1.753478174,-109.7782878,72.40102766,-21.04939446,44.69161739,-5.881183895,72.39906799,41.22437831,286.8620938,-0.298881594,7.48E-05,1.261624597,0.812209574,53.76993945,0.064078571,9.00E-07,1,0.994,0.1015,1,1,1,0.9625,0.9965,0.8925,0.9815,0.989,0.991,0.901,5.00E-04,0.8855,0.9985,0.0075,0.902,0.9825,1,1,0.774,1,1,1,0.994,0.443,0.985
dvdtmax-vmax-APD50-max_dv-CaTD50,0.8125,0.625,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.262680767,0.909952607,0.777777778,-30.45292744,1.311516608,-128.1802691,77.90679086,-45.8767072,49.31316838,9.999889558,72.39906799,41.22437831,286.8620938,-0.298881594,314.3122396,1.261624597,0.812209574,53.76993945,0.064078571,14.34918714,1,0.9955,0.081,1,1,1,0.9725,0.997,0.8995,0.9835,0.9885,0.993,0.9025,0.002,0.8875,0.999,0.0085,0.9055,0.989,1,1,0.7685,1,1,1,0.9965,0.437,0.9835
