Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.82265625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.253636827,0.914691943,0.777777778,-30.20933867,-8.603524353,-17.9988818,-58.84129357,-59.59258374,19.02447639,64.29063963,-15.71719922,168.4047567,72.39906799,286.8620938,363.9871979,0.000245491,7.48E-05,314.3122396,747.0841354,1.261624597,53.76993945,83.19192952,1.78E-05,9.00E-07,14.34918714,29.43244193,1,1,0.2935,1,1,1,0.9285,1,0.9235,0.929,0.992,0.976,0.8555,0,0.8865,0.995,0.0275,0.8475,0.976,0.995,0.998,0.897,1,1,0.99,0.9625,0.3385,0.9775
dvdtmax-APD50-APD90-max_dv-camax-carest-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.24043311,0.928909953,0.777777778,-19.41858563,4.322543575,-16.66021252,-10.31956599,44.29477669,-59.40208489,-34.78134906,64.02927964,65.9460252,72.39906799,286.8620938,363.9871979,-0.298881594,0.000245491,7.48E-05,747.0841354,1.261624597,53.76993945,83.19192952,0.064078571,1.78E-05,9.00E-07,29.43244193,1,1,0.592,1,1,0.9995,0.9565,1,0.9335,0.9355,0.9965,0.9675,0.859,0,0.9365,0.9965,0.0205,0.897,0.9805,0.98,0.99,0.913,1,1,0.9435,0.9785,0.1755,0.985
dvdtmax-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.245879705,0.924170616,0.777777778,-22.21497528,1.417406313,-13.31707682,-42.24081239,16.25522313,-43.94564162,58.22890108,3.802341704,101.5965239,72.39906799,286.8620938,363.9871979,-0.298881594,7.48E-05,314.3122396,747.0841354,1.261624597,53.76993945,83.19192952,0.064078571,9.00E-07,14.34918714,29.43244193,1,1,0.507,1,1,1,0.955,1,0.936,0.9325,0.9955,0.968,0.867,0,0.9265,0.996,0.0225,0.926,0.9825,0.98,0.992,0.9325,1,1,0.931,0.9765,0.1355,0.9835
dvdtmax-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.249023636,0.924170616,0.777777778,-25.02395175,-1.289920958,-17.53516644,-11.51334077,-37.70613382,-25.45699481,68.44948512,-12.78009271,104.9603615,72.39906799,286.8620938,-0.298881594,0.000245491,7.48E-05,314.3122396,747.0841354,1.261624597,53.76993945,0.064078571,1.78E-05,9.00E-07,14.34918714,29.43244193,1,1,0.4505,1,1,1,0.9455,1,0.912,0.946,0.9945,0.9725,0.862,0,0.92,0.996,0.021,0.868,0.977,0.989,0.996,0.9035,1,1,0.978,0.9775,0.2095,0.9845
dvdtmax-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.240404066,0.928909953,0.777777778,-19.90317941,3.467854748,-12.92432341,49.84997177,-59.08351046,-47.89713483,67.52105735,-9.41836003,65.6024014,72.39906799,363.9871979,-0.298881594,0.000245491,7.48E-05,314.3122396,747.0841354,1.261624597,83.19192952,0.064078571,1.78E-05,9.00E-07,14.34918714,29.43244193,1,1,0.572,1,1,1,0.957,1,0.9375,0.938,0.9965,0.9705,0.8565,0,0.9405,0.9965,0.023,0.8785,0.981,0.9785,0.991,0.9165,1,1,0.949,0.9775,0.195,0.985
dvdtmax-vmax-APD50-camax-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.927272727,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.260691429,0.924170616,0.777777778,-39.78992869,-9.46690473,-87.9909891,40.65260482,-37.72426559,-15.55629486,48.72503233,-13.41634188,92.09176932,72.39906799,41.22437831,286.8620938,0.000245491,7.48E-05,314.3122396,747.0841354,1.261624597,0.812209574,53.76993945,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9995,0.301,1,1,1,0.9695,1,0.961,0.9865,0.9925,0.988,0.9195,0,0.9105,0.9995,0.021,1,0.986,0.9995,0.998,0.795,1,1,0.9985,0.997,0.0155,0.9905
dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.625,0.75,0.927272727,0.666666667,0.8125,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.273779094,0.90521327,0.777777778,-21.41062829,11.38695707,-129.8169962,69.32349091,-64.75986082,37.45713407,-11.75732729,22.48280004,24.79790758,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,314.3122396,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.997,0.0715,1,0.9935,0.9995,0.977,0.999,0.9275,0.987,0.9925,0.9925,0.913,0.003,0.8895,0.999,0.014,0.9405,0.9905,1,1,0.7345,1,1,1,0.9975,0.2285,0.9885
dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD90,0.875,0.625,0.75,0.927272727,0.698412698,0.8125,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.269438652,0.914691943,0.777777778,-44.04601546,-11.76712795,-129.3930254,68.87610988,-120.568689,43.2776602,24.28639195,27.55467066,102.2756317,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,747.0841354,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,29.43244193,1,0.9985,0.1595,1,1,1,0.981,1,0.964,0.9875,0.994,0.9945,0.936,0.0025,0.912,0.997,0.029,1,0.9955,1,0.9985,0.767,1,1,1,0.9985,0.011,0.99
dvdtmax-vmax-APD50-max_dv-camax-CaTD50-CaTD90,0.875,0.625,0.75,0.927272727,0.682539683,0.802083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.272816362,0.909952607,0.777777778,-50.55151887,-18.43269569,-132.7526376,80.81296666,-127.7281486,59.06398786,53.39136577,-2.351913655,101.0492348,72.39906799,41.22437831,286.8620938,-0.298881594,0.000245491,314.3122396,747.0841354,1.261624597,0.812209574,53.76993945,0.064078571,1.78E-05,14.34918714,29.43244193,1,0.9985,0.1455,1,1,1,0.9805,1,0.9495,0.985,0.992,0.9935,0.9395,0.0015,0.904,0.9975,0.0255,0.9975,0.997,0.999,0.989,0.78,1,1,0.9985,0.997,0.006,0.989
dvdtmax-vmax-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.268836781,0.91943128,0.777777778,-42.90772152,-11.2974742,-122.0897368,63.26577849,-84.34810202,34.57361536,34.75218108,-8.731643858,90.09334678,72.39906799,41.22437831,286.8620938,-0.298881594,7.48E-05,314.3122396,747.0841354,1.261624597,0.812209574,53.76993945,0.064078571,9.00E-07,14.34918714,29.43244193,1,0.9975,0.178,1,1,1,0.978,1,0.964,0.9875,0.993,0.9945,0.929,0.0025,0.9075,0.9985,0.0275,0.9995,0.9935,1,0.9985,0.7635,1,1,1,0.9985,0.016,0.9885
