"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0,0.0833333333333333,0.0909090909090909,0.171428571428571,0.435714285714286,0.605839416058394,0.683168316831683,0.780487804878049,0.823529411764706,1
"dvdtmax",0,0.25,0.242424242424242,0.314285714285714,0.392857142857143,0.54014598540146,0.643564356435644,0.804878048780488,0.823529411764706,1
"vmax",0,0.333333333333333,0.348484848484849,0.342857142857143,0.421428571428571,0.525547445255474,0.633663366336634,0.707317073170732,0.882352941176471,1
"vrest",0,0.0833333333333333,0.287878787878788,0.657142857142857,0.807142857142857,0.781021897810219,0.782178217821782,0.804878048780488,0.764705882352941,1
"APD50",0,0.166666666666667,0.257575757575758,0.342857142857143,0.471428571428571,0.576642335766423,0.683168316831683,0.75609756097561,1,1
"APD90",1,0.25,0.272727272727273,0.304761904761905,0.414285714285714,0.525547445255474,0.633663366336634,0.634146341463415,0.823529411764706,0.75
"max_dv",0,0.166666666666667,0.212121212121212,0.20952380952381,0.214285714285714,0.226277372262774,0.306930693069307,0.341463414634146,0.647058823529412,0.75
"camax",0,0.0833333333333333,0.303030303030303,0.419047619047619,0.45,0.503649635036496,0.584158415841584,0.780487804878049,0.764705882352941,1
"carest",0,0.25,0.378787878787879,0.447619047619048,0.464285714285714,0.591240875912409,0.702970297029703,0.829268292682927,0.823529411764706,0.75
"CaTD50",0,0.25,0.348484848484849,0.4,0.507142857142857,0.554744525547445,0.702970297029703,0.829268292682927,0.882352941176471,1
"CaTD90",0,0.0833333333333333,0.257575757575758,0.39047619047619,0.421428571428571,0.569343065693431,0.643564356435644,0.731707317073171,0.764705882352941,0.75
