"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0,0.666666667,0.75,0.791666667,0.791666667,0.791666667,0.791666667,0.875,0.791666667,0.791666667
"dvdtmax",0,0.833333333,0.833333333,0.875,0.875,0.833333333,0.833333333,0.875,0.791666667,0.791666667
"vmax",0,0.75,0.833333333,0.875,0.875,0.833333333,0.791666667,0.791666667,0.75,0.791666667
"vrest",0,0.708333333,0.875,0.875,0.875,0.833333333,0.875,0.875,0.791666667,0.791666667
"APD50",0,0.791666667,0.833333333,0.833333333,0.875,0.833333333,0.833333333,0.791666667,0.791666667,0.791666667
"APD90",0.666666667,0.833333333,0.875,0.875,0.875,0.833333333,0.875,0.875,0.75,0.75
"max_dv",0,0.791666667,0.875,0.875,0.875,0.833333333,0.875,0.875,0.791666667,0.791666667
"camax",0,0.708333333,0.875,0.875,0.875,0.833333333,0.875,0.875,0.791666667,0.791666667
"carest",0,0.833333333,0.875,0.875,0.875,0.833333333,0.875,0.875,0.791666667,0.791666667
"CaTD50",0,0.708333333,0.833333333,0.875,0.875,0.833333333,0.875,0.875,0.791666667,0.791666667
"CaTD90",0,0.833333333,0.833333333,0.833333333,0.875,0.833333333,0.875,0.791666667,0.791666667,0.791666667
