Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Mean_1,Mean_2,SD_1,SD_2,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD90-carest,0.75,0.625,0.875,0.854545455,0.793650794,0.958333333,0.8,0.285714286,0.75,0.727272727,0.777777778,0.833333333,2.933326244,1.92856725,5.99997,0.275000997,0.80357165,0.272728066,0.666666667,0.4,0.75,0.277444554,0.900473934,0.666666667,-2.194875476,1.269208471,6.046709496,2.549332677,364.2659437,7.28E-05,92.85975461,3.84E-06,1,1,0.9145,1,1,1,0.882,1,0.9955,0.6785,1,0.295,0.413,0.8775,0.974,1,0.2235,0.0115,1,1,1,0,0.998987342,1,1,0,1,1
camax-CaTD50,0.75,0.5625,0.8125,0.909090909,0.73015873,0.916666667,0.8,0.142857143,1,0.727272727,0.888888889,0.75,2.933326244,1.285711714,3.999988,0.275000997,0.964285754,1.33E-06,0.666666667,0.222222222,0.727272727,0.324389339,0.900473934,0.708333333,-1.532994391,2.582943762,8.062438749,6.379766584,0.000222524,327.3362708,3.76E-05,22.17423484,1,1,1,1,1,1,0.811,1,0.966,0.168,1,0.377,0.2495,0,0.951,1,0.0525,0.0095,0.9935,1,1,0.286,1,1,1,0,1,0.98
carest-CaTD50,0.8125,0.6875,0.8125,0.981818182,0.746031746,0.875,1,0.285714286,0.75,0.727272727,0.888888889,0.75,3.666656889,5.142819857,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.251447846,0.909952607,0.708333333,-0.540434201,4.029218196,10.89614072,7.444700175,7.28E-05,327.3362708,3.85E-06,22.17423484,1,1,1,0.9895,0.9645,0.9055,0.82,1,0.9335,0.27,0.9995,0.9035,0.274,0,0.948,0.999,0.0085,0.024,0.859,1,1,1,1,1,1,0.029,1,0.9825
carest-CaTD90,0.8125,0.6875,0.8125,0.981818182,0.793650794,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.9055,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.248965299,0.928909953,0.833333333,-3.073976522,1.947401746,17.92186757,16.08155833,7.28E-05,768.6722188,3.85E-06,46.4212134,1,1,1,0.994,1,1,0.7975,1,0.9315,0.2695,0.999,0.8815,0.272,0,0.958,0.998,0.0245,0.0245,0.922,1,1,1,1,1,1,0.035,1,0.9905
dvdtmax-APD50,0.75,0.625,0.8125,0.963636364,0.746031746,0.916666667,1,0.142857143,1,0.636363636,1,0.75,2.749995188,142858.025,3.999988,1.57E-06,0.857143,1.33E-06,0.714285714,0.25,0.727272727,0.312148045,0.914691943,0.791666667,-2.614883927,1.11910343,4.066222808,9.412437425,72.03390709,287.2062878,2.416227739,64.31807536,1,1,0.9995,0.999,1,0.999,0.768,1,0.9125,0.003,0.998,0.1085,0.0525,0,0.946,0.998,0.0665,0.001,0.9895,1,1,1,1,1,1,5.00E-04,1,0.615
dvdtmax-APD90,0.75,0.625,0.875,0.963636364,0.761904762,0.916666667,1,0.142857143,1,0.636363636,1,0.833333333,2.749995188,142858.0033,5.99997,1.57E-06,0.857143,1.20E-06,0.714285714,0.25,0.8,0.310013245,0.909952607,0.833333333,-2.403219445,0.775949705,3.471001599,7.861214134,72.03390709,364.2659437,2.416227739,92.85975461,1,1,1,0.996,1,0.999,0.8305,1,0.8105,0.004,0.9835,0.2015,0.043,0,0.968,0.9985,0.0975,0,0.983,1,1,1,1,1,1,0,1,0.4615
dvdtmax-max_dv,0.6875,0.5625,0.875,0.927272727,0.714285714,0.916666667,1,0,1,0.545454545,1,0.833333333,2.19999736,0.99999994,5.99997,1.83E-06,1,1.20E-06,0.666666667,0,0.8,0.343433866,0.872037915,0.791666667,-1.620801974,0.591637016,1.184489909,3.454929279,72.03390709,-0.292902106,2.416227739,0.063732419,1,1,1,0.956,1,1,0.6085,1,0.418,0,0.6525,0.1985,0.003,0,0.8695,0.9945,0.099,0,0.8325,1,1,1,0.928101266,1,1,0,1,0
qNet-vmax,0.8125,0.625,0.75,0.890909091,0.714285714,0.916666667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.734694219,0.333334222,0.666666667,0.5,0.6,0.242836244,0.928909953,0.666666667,-11.13746966,22.34303941,-45.06864271,7.965650041,63.97825074,40.79794507,15.86819615,1.331177912,1,1,0.813,0.9985,1,1,0.945,1,0.8605,0.999,0.996,0.934,0.993,0.4825,0.775,1,0.094,0.842,0.9585,1,0.997,0,1,1,1,0.9985,0.4065,1
vmax-APD50,0.75,0.5625,0.8125,0.909090909,0.793650794,0.916666667,1,0.142857143,0.75,0.636363636,0.888888889,0.75,2.749995188,1.285711714,3.999988,1.57E-06,0.964285754,0.30000084,0.714285714,0.222222222,0.666666667,0.31604281,0.928909953,0.708333333,0.974949355,8.855872553,13.87603514,14.64782355,40.81753408,287.2062878,1.184759215,64.31807536,0.9985,1,0.3615,1,1,0.9775,0.905,1,0.842,0.7815,0.9905,0.036,0.1595,0.57,0.7125,0.9445,0.2185,0.129,0.9815,1,1,1,1,1,1,0.4635,0.9985,1
vmax-APD90,0.6875,0.5625,0.8125,0.890909091,0.793650794,0.9375,1,0.142857143,0.75,0.545454545,0.888888889,0.833333333,2.19999736,1.285711714,4.499979,1.83E-06,0.964285754,0.30000084,0.666666667,0.222222222,0.666666667,0.324109096,0.928909953,0.666666667,1.008865984,7.191813683,11.91065623,11.8521994,40.81753408,364.2659437,1.184759215,92.85975461,0.999,0.9995,0.5095,0.9995,1,0.964,0.947,1,0.912,0.7595,0.997,0.0375,0.1295,0.2015,0.772,0.9445,0.263,0.074,0.9965,1,1,1,1,1,1,0.3335,0.9995,1
