Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD50-camax-carest,0.8125,0.6875,0.8125,0.981818182,0.825396825,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.1262,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.235901248,0.938388626,0.833333333,-0.841340633,4.645580748,11.27302282,-23.60333738,30.58933585,287.2062878,0.000222565,7.28E-05,64.31807536,3.76E-05,3.84E-06,1,1,1,0.974,1,0.991,0.708,1,0.924,0.449,0.9975,0.982,0.3605,0.0015,0.9685,0.9955,0.003,0.06,0.761,1,1,1,0.999493671,1,1,0.1585,1,1
APD50-carest-CaTD50,0.8125,0.6875,0.8125,0.981818182,0.777777778,0.875,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.7996,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.255593554,0.91943128,0.791666667,-0.955709535,3.688924804,1.527449215,9.677777429,6.308913278,287.2062878,7.28E-05,327.3555683,64.31807536,3.84E-06,22.17761135,1,1,1,0.993,1,0.985,0.8045,1,0.945,0.182,1,0.7875,0.2565,0,0.952,0.9995,0.028,0.0175,0.921,1,1,1,1,1,1,0.0085,1,0.992
APD50-carest-CaTD90,0.8125,0.6875,0.8125,0.963636364,0.841269841,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.098,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.231974669,0.938388626,0.833333333,4.431470047,11.08620981,-26.94932333,66.92549878,55.12360281,287.2062878,7.28E-05,768.6720229,64.31807536,3.84E-06,46.44521373,1,1,1,0.914,1,0.996,0.843,1,0.9425,0.7535,0.989,0.9685,0.3315,0.0095,0.943,0.969,0.023,0.147,0.8315,1,1,1,1,1,1,0.414,0.997,1
APD90-camax-carest,0.8125,0.6875,0.875,0.963636364,0.873015873,0.9375,1,0.285714286,1,0.727272727,1,0.833333333,3.666656889,285715.1484,5.99997,1.37E-06,0.714286,1.20E-06,0.769230769,0.444444444,0.8,0.231715658,0.938388626,0.875,-0.205001134,4.159658759,8.876932485,-19.74924409,26.62283475,364.2659437,0.000222565,7.28E-05,92.85975461,3.76E-05,3.84E-06,1,1,1,0.942,1,0.9845,0.842,1,0.9135,0.4875,0.9885,0.9765,0.331,0.1095,0.9785,0.981,0.026,0.031,0.9135,1,1,1,0.999493671,1,1,0.033,1,1
APD90-carest-CaTD50,0.8125,0.6875,0.8125,0.981818182,0.777777778,0.875,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.8426,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.253580892,0.91943128,0.791666667,-0.7944001,3.78883974,0.943898894,10.13114085,6.703142093,364.2659437,7.28E-05,327.3555683,92.85975461,3.84E-06,22.17761135,1,1,1,0.9905,1,0.9685,0.819,1,0.935,0.1935,0.9995,0.8355,0.258,0,0.953,0.9995,0.02,0.017,0.908,1,1,1,1,1,1,0.009,1,0.989
APD90-carest-CaTD90,0.8125,0.625,0.8125,0.945454545,0.841269841,0.916666667,1,0.282142857,1,0.727272727,1,0.75,3.666656889,142858.0767,3.999988,1.38E-06,0.804910933,1.33E-06,0.769230769,0.39625,0.727272727,0.231880248,0.943127962,0.833333333,9.286366701,18.57854375,-33.43296146,86.82578739,66.17468294,364.2659437,7.28E-05,768.6720229,92.85975461,3.84E-06,46.44521373,1,1,0.9955,0.98,1,0.983,0.7615,1,0.961,0.8625,0.998,0.62,0.404,0.2505,0.8395,0.988,0.0405,0.263,0.76,1,1,1,1,1,1,0.693,0.9895,1
camax-carest-CaTD50,0.8125,0.6875,0.8125,0.963636364,0.761904762,0.875,1,0.285714286,1,0.727272727,1,0.75,3.666656889,142858.387,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.257858426,0.914691943,0.791666667,-0.762313681,3.7853244,2.418481504,8.062808874,7.345347895,0.000222524,7.28E-05,327.3362708,3.76E-05,3.85E-06,22.17423484,1,1,1,0.993,0.99,0.961,0.822,1,0.944,0.18,1,0.775,0.2515,0,0.9485,0.9995,0.0255,0.0165,0.918,1,1,1,1,1,1,0.006,1,0.986
camax-carest-CaTD90,0.8125,0.6875,0.8125,0.963636364,0.825396825,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.1932,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.232792973,0.938388626,0.833333333,0.207708307,6.228940635,-16.45074159,41.2013447,16.98968623,0.000222524,7.28E-05,768.6722188,3.76E-05,3.85E-06,46.4212134,1,1,1,0.9595,1,0.998,0.742,1,0.926,0.595,0.997,0.992,0.363,5.00E-04,0.9655,0.9915,0.0055,0.0965,0.7725,1,1,1,1,1,1,0.271,1,1
carest-CaTD50-CaTD90,0.8125,0.625,0.8125,0.927272727,0.80952381,0.9375,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,3.666656889,2.571414429,3.999988,0.275000997,0.734694219,0.30000084,0.714285714,0.444444444,0.666666667,0.211886816,0.943127962,0.666666667,-32.37548632,-26.29810841,86.1849537,-86.50636671,192.8640132,7.28E-05,327.3362708,768.6722188,3.85E-06,22.17423484,46.4212134,1,1,0.8955,0.997,1,1,0.8675,1,0.928,0.67,0.9685,0.835,0.488,0.26,0.9405,0.981,0.1955,0.333,0.981,1,0.932,1,0.9935,1,1,0.296,0.8735,0.9935
dvdtmax-APD50-camax,0.8125,0.625,0.8125,0.945454545,0.777777778,0.9375,1,0.142857143,0.75,0.727272727,0.888888889,0.75,3.666656889,2.571414429,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.296856284,0.928909953,0.75,-2.075960562,1.837355719,3.72807334,7.936900506,1.337660088,72.03390709,287.2062878,0.000222565,2.416227739,64.31807536,3.76E-05,1,1,0.926,1,1,0.9985,0.815,1,0.9815,0.3245,1,0.1435,0.225,5.00E-04,0.941,0.9995,0.122,0.01,0.9995,1,1,0.9805,1,1,1,0,1,0.998
