Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD50-APD90-carest-CaTD90,0.75,0.5625,0.75,0.945454545,0.80952381,0.916666667,1,0.142857143,0.75,0.727272727,0.888888889,0.75,2.933326244,1.285711714,2.999992,1.57E-06,0.964285754,0.333334222,0.714285714,0.222222222,0.6,0.266952055,0.938388626,0.75,9.574399226,20.7011649,34.61119672,-60.33475334,80.85602409,57.05093538,287.2062878,364.2659437,7.28E-05,768.6720229,64.31807536,92.85975461,3.84E-06,46.44521373,1,1,0.682,0.9945,1,0.9895,0.6955,1,0.7755,0.8865,0.9945,0.2575,0.479,0.56,0.7135,0.993,0.0585,0.297,0.7695,1,1,1,1,1,1,0.772,0.983,1
APD50-camax-carest-CaTD50,0.75,0.6875,0.875,0.927272727,0.80952381,0.916666667,1,0.285714286,0.75,0.636363636,1,0.833333333,2.749995188,285714.5178,5.99997,1.57E-06,0.714286,0.272728066,0.714285714,0.444444444,0.75,0.243003951,0.928909953,0.791666667,1.691086547,7.399911381,26.08761559,-56.00938055,60.23389934,-11.7632375,287.2062878,0.000222565,7.28E-05,327.3555683,64.31807536,3.76E-05,3.84E-06,22.17761135,1,1,0.998,0.9525,0.974,0.9965,0.7565,1,0.933,0.5275,0.9945,0.849,0.3605,0.015,0.951,0.985,0.043,0.078,0.781,1,1,1,0.993417722,1,1,0.2465,1,1
APD50-camax-carest-CaTD90,0.75,0.625,0.8125,0.890909091,0.73015873,0.875,0.6,0.285714286,1,0.818181818,0.777777778,0.75,3.29998735,1.92856725,3.999988,0.488889514,0.734694219,1.33E-06,0.6,0.444444444,0.727272727,0.258117234,0.909952607,0.666666667,-2.137278009,4.903064889,-131.8860533,129.1353977,67.51685449,207.4915719,287.2062878,0.000222565,7.28E-05,768.6720229,64.31807536,3.76E-05,3.84E-06,46.44521373,1,1,1,0.9145,1,1,0.8915,1,0.96,0.921,0.971,0.9765,0.441,0,0.9285,0.906,0.032,0.6675,0.95,1,0.4465,1,1,1,0.9785,0.5455,0.516,0.991
APD50-carest-CaTD50-CaTD90,0.75,0.625,0.8125,0.890909091,0.793650794,0.958333333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.29998735,1.92856725,3.999988,0.488889514,0.734694219,1.33E-06,0.6,0.5,0.727272727,0.230149134,0.933649289,0.708333333,-34.55979515,-26.48326619,-28.03361723,147.8843042,-108.5083549,276.7476735,287.2062878,7.28E-05,327.3555683,768.6720229,64.31807536,3.84E-06,22.17761135,46.44521373,1,1,0.9965,0.963,1,1,0.802,1,0.9285,0.907,0.9415,0.9875,0.6745,0.105,0.952,0.9145,0.1095,0.7705,0.9325,1,0.4585,1,1,1,0.9915,0.632,0.417,1
APD90-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.981818182,0.777777778,0.895833333,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.8992,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.251096324,0.91943128,0.791666667,-0.791579169,3.805201396,1.262466418,-0.878177747,10.9072062,6.489319104,364.2659437,0.000222565,7.28E-05,327.3555683,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,1,0.9895,1,0.9685,0.818,1,0.938,0.209,0.9995,0.864,0.262,0,0.9575,0.9995,0.019,0.0175,0.905,1,1,1,1,1,1,0.012,1,0.9895
camax-carest-CaTD50-CaTD90,0.75,0.6875,0.875,0.890909091,0.825396825,0.958333333,0.6,0.428571429,0.75,0.727272727,0.777777778,0.833333333,2.933326244,2.5714215,5.99997,0.488889514,0.642857545,0.272728066,0.6,0.545454545,0.75,0.18888209,0.938388626,0.666666667,-34.63064248,-26.86086589,-30.55246843,144.0552469,-111.0996233,241.1847046,0.000222524,7.28E-05,327.3362708,768.6722188,3.76E-05,3.85E-06,22.17423484,46.4212134,1,1,0.9685,0.969,1,1,0.788,1,0.9245,0.8645,0.9465,0.9885,0.669,0.5215,0.956,0.9165,0.1445,0.6705,0.923,1,0.6655,1,0.9985,1,0.9985,0.5965,0.539,1
dvdtmax-APD50-camax-carest,0.8125,0.6875,0.8125,0.981818182,0.857142857,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.1615,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.233666915,0.938388626,0.833333333,-0.032097404,5.491679345,-0.918016674,11.00937215,-26.26803049,35.00065637,72.03390709,287.2062878,0.000222565,7.28E-05,2.416227739,64.31807536,3.76E-05,3.84E-06,1,1,1,0.971,1,0.9915,0.723,1,0.924,0.45,0.9975,0.9725,0.3605,0.047,0.9665,0.9955,0.0055,0.059,0.768,1,1,1,0.987848101,1,1,0.175,1,1
dvdtmax-APD50-carest-CaTD50,0.8125,0.6875,0.8125,0.963636364,0.73015873,0.8125,1,0.285714286,0.75,0.727272727,0.888888889,0.75,3.666656889,3.857117143,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.258325863,0.886255924,0.666666667,-0.505181209,4.321061034,-1.580221405,-0.908000116,12.55869935,8.338790695,72.03390709,287.2062878,7.28E-05,327.3555683,2.416227739,64.31807536,3.84E-06,22.17761135,1,1,1,0.9895,0.898,0.989,0.7895,1,0.935,0.1875,0.999,0.8855,0.278,0,0.958,0.9995,0.009,0.0185,0.8885,1,1,1,0.97721519,1,1,0.022,1,0.993
dvdtmax-APD50-carest-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.857142857,0.9375,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.9383,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.225805121,0.943127962,0.833333333,7.576902441,14.45810038,-5.359055149,-38.81492389,88.76150174,70.42207038,72.03390709,287.2062878,7.28E-05,768.6720229,2.416227739,64.31807536,3.84E-06,46.44521373,1,1,1,0.8775,1,1,0.873,1,0.9385,0.7465,0.985,0.9065,0.3365,0.168,0.932,0.948,0.035,0.1485,0.873,1,1,1,0.993924051,1,1,0.4535,0.995,1
dvdtmax-APD90-camax-carest,0.8125,0.6875,0.875,0.963636364,0.904761905,0.958333333,1,0.285714286,1,0.727272727,1,0.833333333,3.666656889,285715.299,5.99997,1.37E-06,0.714286,1.20E-06,0.769230769,0.444444444,0.8,0.205012889,0.938388626,0.875,0.869683428,5.278966106,-1.243654059,8.496422906,-23.35291202,32.52491259,72.03390709,364.2659437,0.000222565,7.28E-05,2.416227739,92.85975461,3.76E-05,3.84E-06,1,1,1,0.925,1,0.987,0.853,1,0.9135,0.503,0.988,0.958,0.342,0.532,0.9765,0.972,0.034,0.034,0.909,1,1,1,0.973670886,1,1,0.047,1,1
