Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-APD50-APD90-camax-carest-CaTD90,0.75,0.625,0.75,0.890909091,0.682539683,0.875,0.6,0.285714286,1,0.818181818,0.777777778,0.666666667,3.29998735,1.92856725,2.999994,0.488889514,0.80357165,1.50E-06,0.6,0.4,0.666666667,0.281000937,0.91943128,0.666666667,-2.229147134,10.56068186,-15.33375932,-142.1565817,-63.7269419,201.590421,108.4539612,317.2928514,72.03390709,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,2.416227739,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.996,0.9945,1,1,0.8265,1,0.8825,0.9625,0.9685,0.8365,0.737,0,0.762,0.952,0.0375,0.9155,0.922,1,0.228,1,0.996962025,1,1,0.9,0.1875,1
dvdtmax-vmax-APD50-APD90-CaTD50-CaTD90,0.875,0.5625,0.75,0.945454545,0.746031746,0.875,0.6,0.285714286,1,1,0.777777778,0.666666667,599999.4528,1.285713,2.999994,0.4000006,0.918367452,1.50E-06,0.75,0.363636364,0.666666667,0.37310764,0.938388626,0.75,-43.67378347,13.80622978,-10.60097225,96.91428289,-82.59872785,152.4734539,35.20010659,-16.10849454,72.03390709,40.81753408,287.2062878,364.2659437,327.3555683,768.6720229,2.416227739,1.184759215,64.31807536,92.85975461,22.17761135,46.44521373,1,1,1,1,1,0.9935,1,1,0.0755,0.9935,0.041,0.992,0.969,5.00E-04,0.005,0.1225,0.0225,0.9995,0.0265,1,0,1,0.999493671,1,1,0.0155,0.051,0.9855
dvdtmax-vmax-vrest-APD50-APD90-carest,0.8125,0.6875,0.75,0.836363636,0.80952381,0.916666667,0.6,0.571428571,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.666666667,0.25998184,0.914691943,0.75,-14.33211353,25.10837502,-25.605627,12.25598207,112.0470994,125.0844609,-50.58328924,-91.10544779,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,1,1,0.984,0.9955,1,1,0.9945,1,0.952,0.9985,0.999,0.9555,0.9895,0.705,0.771,0.9995,0.1635,0.831,0.999,1,0.99,0,1,1,1,0.998,0.337,0.9995
dvdtmax-vmax-vrest-APD50-APD90-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.777777778,0.9375,0.6,0.428571429,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.571428571,0.727272727,0.212964925,0.928909953,0.75,-2.249348935,36.86334456,-26.10169184,1.124619196,106.3034063,101.3060974,-75.45728072,61.36119179,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,46.44521373,1,1,0.9925,0.995,1,1,0.995,1,0.959,0.998,0.9995,0.9575,0.9915,0.7305,0.767,0.9995,0.1195,0.7905,0.996,1,0.995,0,1,1,1,0.9985,0.4235,1
dvdtmax-vmax-vrest-APD50-camax-carest,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.203401808,0.928909953,0.708333333,-13.19713495,21.90852053,-34.0116961,28.6926274,92.00618591,69.76397015,-9.414513867,-73.86493834,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,1,1,0.9955,0.993,1,1,0.9955,1,0.9615,0.9975,0.9995,0.9295,0.95,0.7785,0.7815,0.999,0.171,0.7255,0.997,1,0.9965,0.0035,1,1,1,0.9955,0.6355,0.9995
dvdtmax-vmax-vrest-APD50-camax-CaTD50,0.75,0.625,0.875,0.854545455,0.777777778,0.9375,0.6,0.428571429,1,0.727272727,0.777777778,0.833333333,2.933326244,2.571414429,5.99997,0.488889514,0.714286,1.20E-06,0.6,0.5,0.8,0.220173381,0.938388626,0.75,-22.36299333,13.79731936,-31.81557826,25.00447296,91.24043792,144.0739963,-122.1858845,-51.54362272,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,327.3555683,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,22.17761135,1,1,0.986,0.9935,0.994,0.9995,0.9965,1,0.975,0.9975,1,0.928,0.9245,0.161,0.824,0.9985,0.181,0.582,0.996,1,1,0.1455,1,1,1,0.9955,0.855,1
dvdtmax-vmax-vrest-APD50-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.75,4.3999813,2.5714215,3.999988,0.488889514,0.551020985,1.33E-06,0.6,0.615384615,0.727272727,0.190868121,0.938388626,0.708333333,-43.40628542,-9.692826236,-36.35891499,31.05463509,84.71796317,57.47811911,-86.42375758,190.8828246,72.03390709,40.81753408,-88.03022061,287.2062878,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,22.17761135,46.44521373,1,1,0.9835,0.9935,1,1,0.996,1,0.9665,0.998,0.9985,0.9475,0.9395,0.8715,0.7845,0.9985,0.2025,0.8265,1,1,0.9595,0.086,1,1,1,0.9965,0.484,0.9995
dvdtmax-vmax-vrest-APD90-camax-carest,0.75,0.6875,0.875,0.872727273,0.793650794,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.833333333,3.29998735,2.5714215,5.99997,0.440000616,0.642857545,1.20E-06,0.666666667,0.545454545,0.8,0.168384673,0.943127962,0.75,-12.09021369,15.84997288,-39.51209525,47.57444302,66.67427078,59.05606985,-1.717232851,-75.99802389,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,7.28E-05,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,3.84E-06,0.9995,1,0.995,0.982,1,1,0.9965,1,0.9665,0.995,0.998,0.8445,0.752,0.9525,0.7785,0.99,0.244,0.6635,0.999,1,0.9965,0.4535,0.999493671,1,1,0.99,0.7315,0.9995
dvdtmax-vmax-vrest-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.666656889,3.21427575,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.164521941,0.957345972,0.75,12.78862534,44.17495127,-41.81271876,30.3961551,69.8297629,8.605123724,-1.097132731,34.8825379,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,327.3555683,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,22.17761135,1,1,0.9965,0.986,1,0.9995,0.9955,1,0.9645,0.994,0.9995,0.8405,0.826,0.8125,0.771,0.997,0.152,0.556,0.995,1,1,0.673,0.998987342,1,1,0.992,0.84,1
dvdtmax-vmax-vrest-APD90-carest-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,3.21427575,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.164269406,0.957345972,0.75,5.08839995,36.26092721,-42.10737634,36.75153201,71.382677,23.41932935,-26.11226429,25.81487804,72.03390709,40.81753408,-88.03022061,364.2659437,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,92.85975461,3.84E-06,22.17761135,1,1,0.9965,0.984,1,1,0.9965,1,0.963,0.9965,0.9995,0.8745,0.815,0.8105,0.7735,0.9955,0.168,0.6155,0.996,1,1,0.6325,0.999493671,1,1,0.9935,0.787,1
dvdtmax-vmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.80952381,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,3.21427575,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.158118649,0.962085308,0.75,-26.40549234,3.293939632,-41.00446832,38.71501414,69.165137,36.82610503,-45.84533887,128.5756793,72.03390709,40.81753408,-88.03022061,364.2659437,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,92.85975461,22.17761135,46.44521373,1,1,0.9985,0.988,1,1,0.996,1,0.976,0.9985,0.9995,0.9485,0.8245,0.6595,0.8095,0.9925,0.1855,0.7085,0.998,1,0.9975,0.722,0.999493671,1,1,0.994,0.704,1
dvdtmax-vmax-vrest-camax-carest-CaTD90,0.8125,0.625,0.8125,0.890909091,0.746031746,0.927083333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.440000616,0.734694219,1.33E-06,0.666666667,0.5,0.727272727,0.246642119,0.928909953,0.708333333,-12.86649071,20.24490044,-35.86411497,30.88183533,84.6746348,57.9658768,-46.41807795,95.3189306,72.02405995,40.79794507,-88.03028897,0.000222524,7.28E-05,768.6722188,2.434174718,1.331177912,0.020895704,3.76E-05,3.85E-06,46.4212134,1,1,0.9985,0.992,1,1,0.995,1,0.967,0.998,0.9995,0.955,0.9305,0.0105,0.7845,0.999,0.148,0.774,0.998,1,0.989,0.0455,1,1,1,0.9955,0.57,0.9995
dvdtmax-vmax-vrest-carest-CaTD50-CaTD90,0.875,0.6875,0.8125,0.963636364,0.825396825,0.916666667,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819857,3.999988,0.220000858,0.642857545,1.33E-06,0.8,0.545454545,0.727272727,0.187400162,0.947867299,0.791666667,-3.537864297,84.64482714,-67.81581425,18.49119554,205.7229827,69.51856392,102.9676664,84.79074635,72.02405995,40.79794507,-88.03028897,7.28E-05,327.3362708,768.6722188,2.434174718,1.331177912,0.020895704,3.85E-06,22.17423484,46.4212134,1,1,1,0.9915,1,1,0.9995,1,0.968,0.9995,0.9995,1,0.9275,0,0.772,0.868,0.0135,0.4865,0.7865,1,1,0.974,0.9995,1,1,0.955,0.928,0.9955
