Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vmax-vrest-max_dv-camax,0.75,0.6875,0.875,0.927272727,0.873015873,0.9375,1,0.285714286,1,0.636363636,1,0.833333333,2.749995188,142858.3543,5.99997,1.57E-06,0.714286,1.20E-06,0.714285714,0.444444444,0.8,0.209958818,0.961966825,0.9,1.088708328,39.91194471,-79.90286763,77.09350847,85.34616916,57.71109256,-70.87629672,72.03390709,40.81753408,-88.03022061,-0.292902106,0.000222565,2.416227739,1.184759215,0.020798121,0.063732419,3.76E-05,1,1,0.9985,0.9505,1,0.999,0.998,1,0.9605,0.977,0.9935,0.8565,0.4675,0.3325,0.6365,0.9465,0.2015,0.27,0.983,1,1,0.992,0.995443038,1,1,0.9715,0.996,1
vmax-vrest-APD90-camax-CaTD50,0.8125,0.75,0.875,0.963636364,0.904761905,0.9375,1,0.428571429,1,0.818181818,1,0.833333333,4.3999813,428571.7115,5.99997,1.37E-06,0.571429,1.20E-06,0.769230769,0.6,0.8,0.159817898,0.966824645,0.9,1.013767991,20.95185509,15.79425756,48.85996971,50.10392516,-37.55512342,-2.400072235,40.81753408,-88.03022061,364.2659437,0.000222565,327.3555683,1.184759215,0.020798121,92.85975461,3.76E-05,22.17761135,1,1,1,0.9385,1,0.995,0.997,1,0.9915,0.9785,1,0.9245,0.554,0.7685,0.876,0.9565,0.1475,0.2475,0.9975,1,1,1,1,1,1,0.932,0.997,1
APD50-APD90-carest-CaTD50-CaTD90,0.875,0.6875,0.8125,0.981818182,0.80952381,0.916666667,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285714.9327,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.242012957,0.914691943,0.9,-17.17951079,14.49048156,25.58856161,-30.2346948,95.58441431,52.2594701,32.41495888,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,1,0.9955,1,0.9975,0.967,1,0.904,0.4995,0.9995,0.99,0.407,0,0.8175,0.9475,0,0.084,0.324,1,1,1,1,1,1,0.1195,1,0.731
vmax-vrest-APD50-CaTD50-CaTD90,0.875,0.75,0.875,0.945454545,0.873015873,0.947916667,0.8,0.571428571,1,0.818181818,0.888888889,0.833333333,5.49997525,5.142819857,5.99997,0.244445368,0.48214344,1.33E-06,0.75,0.666666667,0.75,0.124957012,0.971563981,0.866666667,-32.13307747,-0.965679527,20.77456573,83.50513912,58.14042908,-85.54335857,182.7092952,40.81753408,-88.03022061,287.2062878,327.3555683,768.6720229,1.184759215,0.020798121,64.31807536,22.17761135,46.44521373,0.9995,1,0.98,0.9915,1,1,0.996,1,0.9715,0.998,0.999,0.9295,0.8745,0.9175,0.7855,0.9965,0.244,0.7465,1,1,0.9895,0.9945,1,1,1,0.995,0.6255,0.999
vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.75,0.875,0.927272727,0.841269841,0.947916667,0.6,0.571428571,1,0.818181818,0.777777778,0.833333333,5.49997525,3.21427575,5.99997,0.4000006,0.48214344,1.20E-06,0.727272727,0.666666667,0.8,0.144122447,0.962085308,0.866666667,-24.56765446,6.448706718,95.14423059,78.25202424,-35.98992451,-59.68714691,105.2199542,-88.03022061,287.2062878,0.000222565,327.3555683,768.6720229,0.020798121,64.31807536,3.76E-05,22.17761135,46.44521373,1,1,0.999,0.986,1,1,0.9975,1,0.9915,0.9965,1,0.979,0.936,0.8865,0.8765,0.9915,0.1735,0.487,1,1,1,0.5185,1,1,1,0.989,0.9075,0.999
qNet-vmax-vrest-APD90-camax,0.8125,0.6875,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.833333333,6.599938401,2.5714215,5.99997,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.75,0.190022623,0.933649289,0.833333333,-3.301618758,36.60167157,-42.2871446,-3.183842511,50.19397848,18.36105558,-21.29909486,63.95253604,40.81753408,-88.03022061,364.2659437,0.000222565,15.85634121,1.184759215,0.020798121,92.85975461,3.76E-05,1,1,0.979,0.9955,1,1,0.996,1,0.949,0.999,1,0.963,0.9945,0.9845,0.8025,0.999,0.139,0.784,0.9965,1,0.9995,0,1,1,1,0.999,0.4395,1
qNet-vrest-APD90-camax-CaTD50,0.8125,0.6875,0.875,0.872727273,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.833333333,6.599938401,2.5714215,5.99997,0.440000616,0.551020985,1.20E-06,0.666666667,0.615384615,0.8,0.181147442,0.933649289,0.833333333,-14.1326208,25.31522147,-46.63638981,42.28328518,43.39186766,-44.66911828,-18.99699144,63.95253604,-88.03022061,364.2659437,0.000222565,327.3555683,15.85634121,0.020798121,92.85975461,3.76E-05,22.17761135,1,1,0.9875,0.9955,1,1,0.9965,1,0.955,0.9985,1,0.9705,0.989,0.9965,0.8205,0.999,0.1365,0.6995,0.9955,1,1,0,1,1,1,0.998,0.63,1
qNet-vrest-max_dv-camax-CaTD50,0.8125,0.6875,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.833333333,6.599938401,2.5714215,5.99997,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.75,0.184524855,0.938388626,0.833333333,-5.035726819,35.01238628,-43.81507868,42.07901712,13.17506751,-18.82568438,-0.278840742,63.95253604,-88.03022061,-0.292902106,0.000222565,327.3555683,15.85634121,0.020798121,0.063732419,3.76E-05,22.17761135,1,1,0.986,0.9955,1,0.999,0.9945,1,0.9465,0.998,0.9995,0.964,0.9735,0.957,0.79,1,0.122,0.607,0.995,1,1,0,1,1,1,0.9975,0.769,1
dvdtmax-vmax-vrest-max_dv-CaTD50,0.875,0.6875,0.75,0.963636364,0.777777778,0.916666667,0.8,0.285714286,1,0.909090909,0.888888889,0.666666667,8.799914201,3.21427575,2.999994,0.220000858,0.714286,1.50E-06,0.8,0.444444444,0.666666667,0.240746933,0.943127962,0.833333333,18.51209599,58.5088682,-60.24864396,36.13792235,131.0265669,-10.75879168,83.97188741,72.03390709,40.81753408,-88.03022061,-0.292902106,327.3555683,2.416227739,1.184759215,0.020798121,0.063732419,22.17761135,1,1,1,0.995,0.995,0.9515,1,1,0.677,0.9995,0.724,0.9955,0.968,5.00E-04,0.264,0.3725,0.007,0.9015,0.3335,1,0.999,0.9995,0.999493671,1,1,0.9995,0.4155,1
dvdtmax-vmax-vrest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,5.49997525,3.21427575,3.999988,0.440000616,0.571429,1.33E-06,0.666666667,0.6,0.727272727,0.154738428,0.962085308,0.833333333,12.47195271,43.02387878,-44.54453393,34.9622258,73.57864513,32.40424628,11.58601629,72.02405995,40.79794507,-88.03028897,327.3362708,768.6722188,2.434174718,1.331177912,0.020895704,22.17423484,46.4212134,1,1,0.9985,0.971,1,0.9995,0.9965,1,0.963,0.999,0.999,0.936,0.916,0.74,0.755,0.996,0.1395,0.8255,0.9895,1,0.9905,0.8085,0.9985,1,1,0.9985,0.5145,1
