Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-carest,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.21349729,0.924170616,0.8,-9.33077426,29.61208025,-42.48518853,-8.800920376,2.494338125,46.66596655,-13.29623663,31.32419835,-10.74565816,-18.04442824,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,1,1,0.984,0.9955,1,1,0.9955,1,0.949,0.999,1,0.968,0.9965,0.9565,0.8065,0.999,0.1395,0.812,0.9965,1,0.997,0,1,1,1,0.9985,0.3775,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.727272727,0.201814613,0.924170616,0.7,-18.21416866,21.26575612,-36.1112145,-14.3238212,5.314151604,55.81762807,43.52847661,24.97646661,-64.95576402,-28.30655017,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,22.17761135,1,1,0.972,0.9955,1,1,0.996,1,0.955,0.9985,1,0.9625,0.9895,0.9185,0.815,0.999,0.147,0.7245,0.9955,1,1,0,1,1,1,0.9985,0.602,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.207172748,0.928909953,0.8,-9.8999376,28.37538763,-46.87879426,-0.541927262,0.911625677,40.09953398,-31.95111734,42.36575005,-24.69658168,3.197787964,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,46.44521373,1,1,0.987,0.9955,1,1,0.996,1,0.949,0.999,1,0.976,0.9965,0.852,0.809,0.999,0.1375,0.814,0.997,1,0.997,0,1,1,1,0.9985,0.381,1
qNet-dvdtmax-vmax-vrest-APD50-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.833333333,6.599938401,2.5714215,4.499979,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.727272727,0.193690547,0.928909953,0.733333333,-16.71667095,23.04553824,-28.96136151,-3.904496537,2.46641092,71.4160801,73.28430788,-47.23026189,-30.40017449,-24.94429207,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,22.17761135,1,1,0.9655,0.9955,1,1,0.9955,1,0.951,0.999,1,0.971,0.9955,0.997,0.801,0.9995,0.154,0.7975,0.997,1,0.997,0,1,1,1,0.9985,0.429,1
qNet-dvdtmax-vmax-vrest-APD50-camax-carest-CaTD90,0.8125,0.6875,0.75,0.872727273,0.777777778,0.927083333,0.6,0.428571429,1,0.909090909,0.777777778,0.666666667,6.599938401,2.142853714,2.999994,0.440000616,0.642857545,1.50E-06,0.666666667,0.545454545,0.666666667,0.262530542,0.924170616,0.8,-11.00772871,28.09013393,-32.40777394,-7.329956348,-1.234654219,64.43445467,-7.612963301,34.56325659,-25.62394354,57.51437498,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,46.44521373,1,1,0.9955,0.9955,1,1,0.995,1,0.952,0.999,1,0.9845,0.997,0.1455,0.799,0.999,0.117,0.8505,0.9965,1,0.99,0,1,1,1,0.999,0.2875,1
qNet-dvdtmax-vmax-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.5714215,4.499979,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.727272727,0.19277232,0.928909953,0.733333333,-31.53957968,8.679930329,-27.74601932,-6.905668804,5.929814187,72.29026095,83.22408827,-56.5127607,-67.71152327,76.63114011,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,22.17761135,46.44521373,1,1,0.9355,0.996,1,1,0.995,1,0.9515,0.999,0.999,0.9685,0.9935,0.979,0.7985,0.9995,0.1805,0.829,0.998,1,0.9965,0,1,1,1,0.999,0.3965,1
qNet-dvdtmax-vmax-vrest-APD50-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.872727273,0.76984127,0.916666667,0.6,0.428571429,1,0.818181818,0.777777778,0.666666667,4.3999813,1.92856725,2.999994,0.440000616,0.734694219,1.50E-06,0.666666667,0.5,0.666666667,0.235897509,0.924170616,0.766666667,16.00867155,117.6189628,-124.996671,-61.00715291,17.53298373,81.98969172,-71.38690851,97.96384381,68.33532098,16.31575667,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.84E-06,22.17761135,46.44521373,1,1,0.992,0.998,1,1,0.999,1,0.7825,0.9965,0.934,0.8935,0.977,0.772,0.5795,0.998,0.078,0.6605,0.907,1,1,0,0.998987342,1,1,1,0.679,1
qNet-dvdtmax-vmax-vrest-APD90-camax-carest-CaTD50,0.8125,0.75,0.8125,0.836363636,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,3.21427575,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.727272727,0.219893379,0.91943128,0.733333333,-20.55422571,19.13070646,-45.19290107,-14.3115288,8.32063277,44.13056642,50.08219552,-40.31463428,-18.30750964,-22.48979652,63.95253604,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.9695,0.9955,1,1,0.9965,1,0.9515,0.999,1,0.9665,0.9935,0.9985,0.811,0.999,0.1555,0.781,0.997,1,1,0,1,1,1,0.999,0.4855,1
qNet-dvdtmax-vmax-vrest-APD90-camax-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.836363636,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,2.571423857,3.999988,0.440000616,0.48214344,0.30000084,0.666666667,0.666666667,0.666666667,0.219626674,0.91943128,0.733333333,-30.64298622,8.871220629,-44.35635573,-15.417311,10.60950475,43.75538909,48.38917038,-35.60256381,-51.45417441,61.80000268,63.95253604,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,22.17761135,46.44521373,1,1,0.941,0.996,1,1,0.996,1,0.95,0.999,0.999,0.966,0.995,0.997,0.8085,0.999,0.1795,0.847,0.998,1,0.997,0,1,1,1,0.9985,0.33,1
qNet-dvdtmax-vmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.2042994,0.924170616,0.8,-7.923238787,32.83170246,-44.56263593,-0.148782279,-2.81936688,52.02623906,11.16320481,-2.179441581,-28.11192411,1.778737036,63.95253604,72.03390709,40.81753408,-88.03022061,-0.292902106,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,0.063732419,3.76E-05,3.84E-06,22.17761135,1,1,0.986,0.9955,1,1,0.9955,1,0.9475,0.999,0.9995,0.9835,0.9935,0.883,0.7895,0.999,0.1335,0.741,0.9965,1,1,0,1,1,1,0.999,0.5465,1
