Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Beta_9,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,Mean_9,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-CaTD50,0.75,0.625,0.875,0.818181818,0.698412698,0.947916667,0.6,0.571428571,0.75,0.818181818,0.666666667,0.833333333,3.29998735,1.92856725,5.99997,0.488889514,0.642857679,0.272728066,0.6,0.571428571,0.75,0.25928203,0.928909953,0.733333333,-27.06595481,7.41649385,-37.02703369,54.42869789,0.773876563,48.1903675,36.48258919,284.4186389,-127.1906174,-128.4801436,-78.85908129,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,22.17761135,1,1,0.9335,0.9975,0.994,1,0.996,1,0.946,0.999,0.9995,0.7,1,0.2205,0.935,0.999,0.2275,1,0.999,1,0,0.979,1,1,0.9985,0.999,0,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-CaTD90,0.8125,0.625,0.75,0.909090909,0.746031746,0.875,0.6,0.285714286,1,0.818181818,0.777777778,0.666666667,4.3999813,1.92856725,2.999994,0.440000616,0.80357165,1.50E-06,0.666666667,0.4,0.666666667,0.255727308,0.938388626,0.766666667,-63.53342249,118.257095,-234.4433644,45.42222368,-1.698614393,56.9226687,60.41416372,-13.29932056,-6.428859786,1.656008767,32.49841205,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,46.44521373,1,1,0.981,0.999,1,1,0.9775,1,0.868,0.9975,0.9935,0.936,0.968,0.0125,0.7535,1,0.0655,0.591,0.933,1,1,0,1,1,1,0.9965,0.809,0.9995
qNet-dvdtmax-vmax-vrest-APD50-APD90-max_dv-CaTD50-CaTD90,0.8125,0.625,0.8125,0.854545455,0.698412698,0.927083333,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,1.92856725,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.571428571,0.727272727,0.263179487,0.91943128,0.8,-36.15003623,-3.853061103,-16.66261486,60.28317411,-8.228672382,77.43262139,7.791959631,240.8192978,-136.0334062,-90.5242568,184.7678732,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,-0.292902106,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,0.063732419,22.17761135,46.44521373,1,1,0.99,0.9975,1,1,0.9945,1,0.956,0.9995,0.999,0.758,1,0.076,0.9275,0.999,0.167,1,0.999,1,0,0.9965,1,1,0.995,0.999,0,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.75,0.8125,0.836363636,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,2.571423857,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.727272727,0.215856272,0.91943128,0.733333333,-22.40492998,18.23737774,-39.4108163,-15.75243215,8.331801275,55.3813371,33.97776477,35.01098024,-54.87150401,-18.56652817,-29.36605475,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.967,0.9955,1,1,0.9965,1,0.952,0.999,1,0.967,0.9925,0.991,0.81,0.999,0.1545,0.765,0.997,1,1,0,1,1,1,0.9985,0.5245,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-carest-CaTD90,0.8125,0.6875,0.75,0.854545455,0.793650794,0.927083333,0.6,0.571428571,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.571429,1.50E-06,0.666666667,0.6,0.666666667,0.255399677,0.91943128,0.8,-12.75994448,26.7089067,-40.37973612,-10.38674235,2.773584724,53.09892252,-25.5242042,26.63219443,20.8429383,-30.17737647,32.15945698,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.9925,0.9955,1,1,0.996,1,0.951,0.999,1,0.9775,0.9965,0.505,0.8015,0.999,0.1335,0.8305,0.9975,1,0.9915,0,1,1,1,0.9985,0.3275,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.5714215,5.99997,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.75,0.196397585,0.933649289,0.766666667,-32.5639844,5.783721388,-66.12061586,3.048267927,2.825546291,9.723374847,-96.57064426,87.62127032,39.60454395,-63.89294957,127.5988144,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.95,0.996,1,1,0.9955,1,0.952,0.9985,0.998,0.976,0.9965,0.9975,0.821,0.999,0.1725,0.8615,0.9985,1,0.98,0,1,1,1,0.999,0.265,1
qNet-dvdtmax-vmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.727272727,0.20177609,0.928909953,0.733333333,-39.43291257,0.121467653,-26.05181812,-16.28590538,8.417945708,70.86773641,70.12387459,-43.13490381,15.50976939,-81.7277416,126.062343,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,22.17761135,46.44521373,1,1,0.9545,0.996,1,1,0.995,1,0.956,0.999,0.999,0.9735,0.995,0.999,0.8005,0.9995,0.1685,0.8505,0.998,1,0.99,0,1,1,1,0.9995,0.33,1
qNet-dvdtmax-vmax-APD50-APD90-max_dv-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.872727273,0.80952381,0.927083333,0.6,0.571428571,1,0.818181818,0.777777778,0.833333333,4.3999813,3.21427575,4.499979,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.727272727,0.186278443,0.928909953,0.766666667,-24.89140021,55.78231688,-143.7206912,13.07133852,-21.92340264,-96.38905302,82.17285315,23.2784689,-99.45537505,105.1009909,-34.05266951,63.95253604,72.03390709,40.81753408,287.2062878,364.2659437,-0.292902106,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,64.31807536,92.85975461,0.063732419,3.76E-05,3.84E-06,22.17761135,1,1,0.977,0.9975,1,0.9995,0.987,1,0.9475,0.9965,0.9995,0.965,0.973,0.996,0.8255,0.9995,0.095,0.5065,0.987,1,1,0,1,1,1,0.996,0.8685,1
qNet-dvdtmax-vmax-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.714285714,0.927083333,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.243837715,0.928909953,0.8,-29.1102262,2.893228522,-67.38582868,70.13968604,-7.871872586,-160.1405968,342.3042591,-125.7760465,22.05943928,-68.28631565,119.3593183,63.95253604,72.03390709,40.81753408,287.2062878,364.2659437,-0.292902106,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,64.31807536,92.85975461,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.9805,0.9975,1,1,0.994,1,0.9445,0.9995,0.999,0.698,1,0.446,0.935,0.999,0.183,1,0.999,1,0,0.992,1,1,0.9945,0.9995,0,1
qNet-dvdtmax-vmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.727272727,0.200029991,0.928909953,0.733333333,-32.46653828,7.938270923,-75.45217815,-2.328679,7.156437155,-108.9858883,114.2054549,-26.5069817,40.2490161,-60.45172287,87.96559137,63.95253604,72.03390709,40.81753408,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,46.44521373,0.9995,1,0.9315,0.996,1,1,0.996,1,0.9505,0.9985,0.998,0.9705,0.9985,0.9935,0.827,0.999,0.1825,0.854,0.998,1,0.9915,0,1,1,1,0.999,0.298,1
