"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",1,1,0.962932965748944,0.86561757368145,0.771660885005326,0.69179756698028,0.642809721871631,0.605113044463893,0.589852790786484,0.481466158061423
"dvdtmax",0,0.324700790246449,0.361377618734038,0.308567915183499,0.305107391805318,0.180149829249786,0.144384010839814,0.158825650964619,0.1624982236516,0.287329656917826
"vmax",0,0.781013802362113,0.723152089807026,0.552708961797385,0.33197382511464,0.160928361581,0.123700733941296,0.159305191867701,0.0820949805195255,0.247910887590137
"vrest",0,0.693005439643988,0.817348888548673,0.86330409693773,0.795636139943198,0.770572047188667,0.718084405385211,0.692232749140546,0.459195505843315,0.747104425266295
"APD50",0,0.715535198964427,0.651109947459316,0.566364002789602,0.62181462010453,0.696528791543765,0.716091228245615,0.615090787234096,0.424048152244092,0.657886638516456
"APD90",0,0.763552361296082,0.650137076312825,0.475950040325531,0.496786764986269,0.535135947528382,0.583591977294867,0.680435151226451,0.689079089459336,0.40324273412967
"max_dv",0,0.652092639638546,0.508798675715749,0.290959296338934,0.267078556921467,0.233318801872687,0.255426183543371,0.316525743826501,0.34842609647919,0.499364034728088
"camax",0,1,0.554440467318903,0.442325929528038,0.399274521176847,0.348328728134053,0.36816147193411,0.440508719770946,0.369270003756216,0.310744845161367
"carest",0,0.807202202491919,0.791567800347362,0.670733906020892,0.56389548835821,0.457356420125053,0.384426865711695,0.33693734600046,0.341603024693515,0.307549047638379
"CaTD50",0,0.737758628337533,0.542371041491708,0.351461633185517,0.318041762203671,0.331900601080407,0.398055636915525,0.444483574309162,0.384891673453213,0.369303655660453
"CaTD90",0,0.89731487341863,0.692736976333827,0.693441648710024,0.658935615126978,0.675036821556672,0.680150939167652,0.711748638414503,0.676000081616287,0.744098520400943
