"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",1,1,1,1,1,1,1,1,1,1
"dvdtmax",0,0.441535052961833,0.674051242933766,0.735628269604527,0.936220903836992,0.814724062026494,0.509742522912948,0.97375538775193,0.284435749927027,0.528640075915212
"vmax",0,1,1,1,1,1,1,1,0.314162336504458,0.859128554014319
"vrest",0,1,1,1,1,1,1,1,1,1
"APD50",0,1,1,1,1,1,1,1,0.954296696207985,1
"APD90",0,1,1,1,1,1,1,1,1,1
"max_dv",0,1,1,0.779200543758696,1,0.60022093412325,0.626957032786339,0.644918970571042,0.624912135667312,0.821622818177157
"camax",0,1,1,1,1,1,1,1,0.990794135412812,0.469809449044316
"carest",0,1,1,1,1,1,0.996479263934763,1,0.761319785375673,0.677614941001127
"CaTD50",0,0.791294890121341,1,1,0.816480777461929,0.724938912144123,1,0.980146728567774,0.782416130862166,0.521527801336304
"CaTD90",0,0.89731487341863,1,1,1,1,1,1,1,0.953245165494971
