"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",1,1,0.57120208163792,0.281188414412891,0.186139734180214,0.0335867525677183,0.0715898868219561,0.039263723359817,0.0691913605438642,0.0745263888479285
"dvdtmax",0,0.0824222470053389,0.081808706830746,0.00110414449987209,0.002357477836792,0.000213566365551663,0.00173958500623867,0.00285975464858059,0.020390260710743,0.0771990468293487
"vmax",0,0.17674483991577,0.100492358124225,0.024253057685953,0.000462288737430517,0.00183440830384145,1.02056173408266e-05,0.00285157707618054,0.00137844470773408,0.000428304388441921
"vrest",0,0.386010879287977,0.430921720546155,0.029848059257272,0.0296662281297771,0.00808664927005011,0.081594354266848,0.218867285571142,0.0762027052737255,0.298660473034664
"APD50",0,0.14660559689328,0.0338322300635767,0.000420829453087359,0.00865714355217999,0.00820759912312414,0.000364202586769658,0.020315773614899,0.0323560433162263,0.183328638291623
"APD90",0,0.0591173888669595,0.0877134002119075,0.0210585013322243,0.00929490208997249,0.00498450837808273,0.00762633354201026,0.0214498404637345,0.0567272210669572,0.0735996468295306
"max_dv",0,0.0132185596444962,0.00497047190396724,0.00586141914041291,0.00467717670640281,0.00306664308201885,0.0053484102602545,0.0316382765117626,0.027041345036654,0.297992880087666
"camax",0,1,0.168536834623135,0.00018671864010898,0.00890737499774763,0.00153797440505037,0.00531204746234356,0.0041103341435908,0.00706357704445228,0.123650448049941
"carest",0,0.421606607475756,0.237448431843277,0.0414944939224297,0.00829141572898741,0.000532506320249681,0.0202289474449291,0.0154102958066968,0.0644439521085702,0.045560360428029
"CaTD50",0,0.683241926321231,0.119730963893739,0.0118023876143177,0.000119412468561345,3.3378325291096e-05,0.0135700134991955,0.0309720071564251,0.143298331914038,0.0287857181844584
"CaTD90",0,0.89731487341863,0.165345502655933,0.00788874404547875,0.00541922030427725,0.000636593092642291,0.00586150772173882,0.00200364966610756,0.0783054003696149,0.550176514300196
